,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,aug_perc,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,log_pvalue_control_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE,log_pvalue_HI-VAE_weibull_prior,log_pvalue_control_HI-VAE_weibull_prior,est_cox_coef_HI-VAE_weibull_prior,est_cox_coef_se_HI-VAE_weibull_prior,J-S distance_HI-VAE_weibull_prior,KS test_HI-VAE_weibull_prior,Survival curves distance_HI-VAE_weibull_prior,Detection XGB_HI-VAE_weibull_prior,NNDR_HI-VAE_weibull_prior,K-map score_HI-VAE_weibull_prior,log_pvalue_HI-VAE_piecewise_prior,log_pvalue_control_HI-VAE_piecewise_prior,est_cox_coef_HI-VAE_piecewise_prior,est_cox_coef_se_HI-VAE_piecewise_prior,J-S distance_HI-VAE_piecewise_prior,KS test_HI-VAE_piecewise_prior,Survival curves distance_HI-VAE_piecewise_prior,Detection XGB_HI-VAE_piecewise_prior,NNDR_HI-VAE_piecewise_prior,K-map score_HI-VAE_piecewise_prior
0,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,4.073031216547148,2.7205739719835824,0.21879038125972486,0.09024528468135597,0.009505032073152836,0.933993399339934,0.0807924181726144,0.5322142857142856,0.39338181075838485,1.0,4.050768923330333,2.5966197503454174,0.216918786947567,0.08978272942516613,0.010825443737793374,0.9293729372937293,0.032989881719160535,0.5477142857142857,0.40721253786123945,3.0,26.21016425933121,13.56170491098584,-0.6352725846685355,0.09292903692457039,0.0441877681737538,0.7082508250825084,0.10865095118406788,0.9727380952380951,0.5024253282955035,1.0,3.6341559245041437,2.2608051373168863,0.22396971187515363,0.1010813479571389,0.01727126963837501,0.8891089108910891,0.08132832113039044,0.8366428571428571,0.4116439701668581,4.0,0.14114167738211858,0.019183930064857378,-0.014674931033755943,0.08866931384203726,0.008203449099024264,0.9412541254125413,0.03481096966776819,0.45466666666666666,0.4641898838120221,3.0,0.1383781473704782,0.007365076671830916,-0.014454662485979057,0.08907580231421248,0.012530590238616269,0.9214521452145213,0.031624624642718195,0.563952380952381,0.4920626274522193,2.0
1,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,1.5062461796408997,1.0213305301321742,0.11290230946848798,0.08927144768983239,0.012448308275390806,0.9273927392739273,0.04837646839427749,0.4996190476190477,0.4013837674844632,4.0,0.8973499738207777,0.7264907556631538,0.07401317661405335,0.08940393602017323,0.010476074584634683,0.928052805280528,0.03346697325832831,0.4647380952380953,0.5069053477447637,5.0,23.088728273209053,11.735592464502332,-0.5915397320687943,0.0925147275817443,0.04184259173187921,0.7227722772277227,0.10850566191066814,0.9438809523809523,0.539818489905845,1.0,3.7096251323040907,2.344678262169083,0.22591578596046746,0.10063618715713443,0.01386573909601554,0.8983498349834985,0.056538106185446024,0.777452380952381,0.371685050941695,3.0,0.8010940801575309,0.6853426166980966,0.07151122875918053,0.08926917847318971,0.007356531926486536,0.9346534653465349,0.024733478631282602,0.5006190476190476,0.41106840366754116,2.0,1.8780725499842508,1.2080576870421866,0.12962682034031478,0.09074798878607315,0.013814685560444519,0.916171617161716,0.024593205586744812,0.5467619047619048,0.361100225214496,2.0
2,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,3.2097965582195074,2.1092993853783977,0.1894341053035703,0.08946472343177783,0.010273410017082766,0.9313531353135313,0.039794931112869254,0.5258095238095238,0.37651816340614297,2.0,2.2760676875599013,1.901746925507906,0.14599977427413158,0.08954005032983878,0.012815316338987458,0.9161716171617161,0.05741587257486604,0.5013095238095238,0.563430435813998,3.0,27.476516159877423,13.280426366635657,-0.6573039488732362,0.09384116885819933,0.04637689683242438,0.6990099009900991,0.0777372743424501,0.9441428571428571,0.4858607273133773,1.0,2.7623042099022657,1.9743626904396445,0.18723127373351783,0.10090142441285939,0.014458224811775788,0.8996699669967,0.04075251256416587,0.8130000000000001,0.49721628857054256,2.0,2.208054726919621,1.6062895379149587,0.14801868346957278,0.08941637908981491,0.011548806324537088,0.9247524752475248,0.04701261750825705,0.5094047619047619,0.41106572467517016,3.0,0.6370359676483589,0.5517430398247786,0.06069698388013815,0.0900522409240734,0.009851449085570936,0.935973597359736,0.04319986029271447,0.5764761904761905,0.43625599902109513,1.0
3,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,3.610603973100182,2.280274915027605,0.20400767669345732,0.08935572888266279,0.012084525114129403,0.9260726072607262,0.06602020172236014,0.5320952380952381,0.37672141743708415,3.0,3.102234807358331,2.128199920656173,0.18287720148649037,0.08941721111335817,0.01150500661608546,0.9333333333333333,0.052566533699909095,0.5076190476190476,0.5246444671440232,2.0,24.98598009222632,12.651731298925622,-0.6166636282529016,0.09250809497400822,0.040842396148165906,0.7293729372937295,0.11660609639219041,0.9428333333333333,0.4734399907368858,1.0,0.21771047714032,0.22063639504827795,0.023346320020299186,0.09425041679011154,0.015606674728899123,0.8937293729372938,0.06365746699903153,0.7513095238095238,0.4958183799574345,1.0,1.1685810939496277,0.8027539494947808,0.09565313592091157,0.08865239691498657,0.007902321802160649,0.9412541254125413,0.03489153606796965,0.5332142857142858,0.4605751438032526,1.0,1.4743943335431815,1.1124884063305907,0.10742325931895584,0.08932735484213788,0.012271080070778605,0.924092409240924,0.04804378289253491,0.6126904761904761,0.47550900113098915,1.0
4,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,4.973966860082298,3.0985357548691654,0.2486873283647736,0.09036383509725006,0.009615756518030427,0.9372937293729373,0.03148113324553566,0.5882380952380952,0.49308330413139173,4.0,0.6869576288716914,0.7427734013359536,0.059183655911920124,0.08839751697342864,0.008842501244660907,0.9372937293729374,0.04445184129735382,0.49016666666666664,0.49422276237068985,4.0,30.202599830899967,15.415307823764888,-0.6858973340923508,0.09321450255180141,0.03888631902945822,0.7313531353135313,0.10318980828865167,0.9632619047619049,0.4508147578481645,1.0,2.9128203516390134,1.7950300708031897,0.1891613420625448,0.09844544123832695,0.01274695390867766,0.9148514851485149,0.06542371692661281,0.7844285714285715,0.35921485592661123,5.0,1.0862343086274526,0.9050176207814785,0.08970270532019263,0.08947046670807336,0.012586968918343943,0.9188118811881186,0.058799105300193055,0.48171428571428565,0.46683146688149196,4.0,0.41959858312021325,0.3766048368480033,0.03958169158944782,0.08922822049562097,0.009724246927523241,0.9333333333333333,0.05081621619205062,0.6078333333333333,0.43378532864965197,2.0
5,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,1.1911867276905983,0.8933286245365508,0.09832611926443689,0.08949212907648361,0.01004536553808353,0.9359735973597358,0.022566093533579926,0.49140476190476196,0.39139509012859885,4.0,1.6726707651090689,1.3145772047087538,0.12192789089648158,0.08965237734934418,0.008654671937863173,0.9392739273927394,0.023695294279971253,0.48328571428571426,0.4465102573286395,5.0,26.362561240969924,12.683987053267613,-0.6325395429748717,0.09227038581931625,0.04278910587697502,0.7148514851485148,0.08669511254746101,0.9420238095238094,0.4508616651467023,1.0,4.944091445293428,3.0173823043065404,0.272471577896657,0.10155719937664026,0.019237632849283516,0.8673267326732675,0.03662363524222322,0.8572619047619048,0.39670454977704767,1.0,0.1323311455451891,0.07723332585049064,-0.008533021619000717,0.08807011641840849,0.008263271652072319,0.9372937293729373,0.021163818517718813,0.5327380952380952,0.30660638372832166,4.0,0.441554746031779,0.47532379810276815,0.04546005215556445,0.08953917229409344,0.00953144972020613,0.9326732673267326,0.03532239560690611,0.5467857142857142,0.473636294877812,4.0
6,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,4.4339232536223765,2.7291065445297824,0.23217643914064837,0.08995244454971353,0.012544054483059942,0.9161716171617161,0.06805452158669703,0.5157380952380952,0.37562130079117656,3.0,0.4584957960131891,0.4128655315766099,0.04268981659455633,0.08920680867227682,0.008697855443039691,0.937953795379538,0.028714072141605408,0.5667619047619048,0.4228179472048355,2.0,24.87030493807064,12.851540860889791,-0.621336157989061,0.09344944383330417,0.03544986710508179,0.7524752475247525,0.10457771953273519,0.9397619047619047,0.48525696275132824,1.0,1.265164035959667,0.9556002893417179,0.10429228129951727,0.09702215876986356,0.015111251318817348,0.8957095709570957,0.03940235587469054,0.7712857142857144,0.4015821473920674,4.0,0.6092946345893158,0.5254965247991573,0.05407538178125058,0.08907125534896665,0.01029606306581819,0.9306930693069309,0.03136238316938786,0.4857380952380952,0.4915598243490328,4.0,0.2358889694164925,0.084799542801329,-0.023661702293673998,0.08879508677641751,0.00931022085599501,0.9333333333333333,0.029650692818282885,0.5991904761904762,0.4014072953626366,3.0
7,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,5.5859423375556885,3.2963644247804726,0.26733224497526653,0.09019091622048685,0.010282467260526739,0.926072607260726,0.055706827523338394,0.5034285714285714,0.43245664055969185,3.0,1.4019698567526258,1.0795315610042833,0.10714321846240975,0.08908452093623409,0.010351292776853043,0.9353135313531353,0.04011853423909204,0.5173333333333334,0.512617292163076,3.0,25.886384559018342,12.767710810359155,-0.6298670979614182,0.0927454383938498,0.03825402479533102,0.7386138613861386,0.08259495143939431,0.9604285714285714,0.47477111859218124,1.0,1.1456322970309774,0.7190769104380602,0.09663699244897951,0.09681533426489586,0.01514642808643395,0.8910891089108912,0.03888955836654921,0.7977142857142857,0.342129518631445,2.0,0.6111998069181461,0.590962413901495,0.05813138087426597,0.08907804279401726,0.00894744782621905,0.9300330033003301,0.02720346203669972,0.5555,0.44857106231731075,3.0,0.5100840197424836,0.5138475844550634,0.046409816579601144,0.08861673796399813,0.009082605838188401,0.928052805280528,0.02887711334866207,0.5826904761904762,0.3594714479170352,2.0
8,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,3.2810309756213107,2.0588278434217333,0.1930547130515162,0.09043755741116903,0.00962694987849586,0.926072607260726,0.042577252817225054,0.506,0.5203281890781266,3.0,0.790604870459303,0.6317192366114865,0.06663028246062616,0.08891874938233955,0.009982589613116672,0.935973597359736,0.04939152954437109,0.5846190476190476,0.4312221010991041,3.0,24.554218407832444,12.090793858468853,-0.604872466743329,0.0915616701795996,0.037475422842013335,0.7511551155115511,0.07183760569283712,0.9394047619047619,0.5926932901569165,1.0,1.2393898214483572,0.6080403540468504,0.10512237823904082,0.09930058346039779,0.018608930194888698,0.8858085808580858,0.08068213027763839,0.8398095238095238,0.4282490376779835,2.0,1.1510547309337902,0.8449835522024853,0.09525995730835346,0.0892041207846346,0.009061238151757621,0.9366336633663366,0.0369689958891294,0.47416666666666674,0.47636722314023255,2.0,1.6501589676296784,1.2924259369280136,0.11703541995817693,0.08975840649448286,0.012412666911981214,0.9240924092409242,0.052075100522869615,0.7062142857142857,0.41256840068537926,1.0
9,396,261.71287128712873,255,0.0034266868486105538,0.0,0.3333333333333333,0.19403518377897744,-0.027509985834703442,0.12343346945107445,1.4103590544527769,1.155813171413153,0.10920628945253605,0.08930310226402975,0.009172634210264726,0.9273927392739274,0.023003723350824557,0.5490952380952381,0.4564461730588081,1.0,0.19234830053001226,0.28610249364148965,0.019542704601086692,0.08839244383880311,0.01011585320442839,0.9313531353135315,0.026897435778666007,0.5941428571428572,0.42152485509962934,5.0,25.074117577262808,12.622248235933123,-0.6218470564490612,0.09309358844978437,0.043366228074884904,0.7102310231023102,0.0822393331916177,0.952190476190476,0.4250647087305756,1.0,1.5042344703793677,1.1651916033968608,0.12086567688206906,0.09906757238672353,0.01493372483927599,0.9062706270627063,0.050105801437316674,0.7933333333333333,0.341083219027585,2.0,1.5351391829090288,1.2145591036947538,0.11463796604291268,0.08944890656336228,0.013907693510974222,0.9016501650165017,0.09086214868133441,0.5882619047619049,0.45158519366798516,1.0,0.35947285320066186,0.2200326650795758,-0.030390596456403678,0.0885238567742943,0.009817907492674182,0.9353135313531353,0.031930135676154166,0.5535,0.4368244731037224,2.0
