,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,aug_perc,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,log_pvalue_control_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
0,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,2.7290754851953056,9.558982199324785,0.17794565364097234,0.09665262832393305,0.013104853125882412,0.908910891089109,0.14923388343144628,0.5846904761904762,0.4952006849142146,5.0,0.7863356797629582,8.032048559334386,0.0692187763858675,0.09277247545457042,0.01309016450332735,0.9155115511551155,0.10959495499454941,0.5972619047619048,0.5546776679062474,4.0,33.40309988559446,4.203523567926076,-0.7396825501533657,0.09560776786186384,0.019330203710511747,0.8726072607260726,0.07269789537523655,0.7827380952380952,0.34323575116122385,1.0,6.235848492587196,0.938413373640275,-0.3100893518489701,0.10049234219105507,0.01576178528345416,0.8838283828382839,0.05755917277626387,0.740452380952381,0.49245382389612724,4.0
1,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,5.379563880525525,13.867315644075262,0.27386017606228114,0.0969489391924689,0.0124744326401429,0.9089108910891089,0.16597216756591512,0.6048809523809524,0.4526281238882803,2.0,0.8047870250306924,4.474275125289099,-0.0700457688514789,0.09216966445378132,0.00817656865655065,0.9353135313531353,0.07599211013628111,0.5221428571428571,0.5316659786319723,3.0,34.8694211648287,4.471402757179456,-0.749085047810611,0.09462099558011601,0.020149616777208265,0.858745874587459,0.0705156141863713,0.7917619047619049,0.4414147092499284,2.0,10.220322382834636,0.2786677651041079,-0.4112449130762595,0.1001897609997693,0.0184524631643881,0.8706270627062708,0.07124739068450689,0.7559285714285714,0.4728647414458402,2.0
2,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,3.228035600947503,10.279685693214564,0.199398814028144,0.09705811569883067,0.012758101933825056,0.916171617161716,0.09310957805840976,0.596452380952381,0.3956574200151617,2.0,1.6465399197375905,9.297999540234624,0.12260736605506102,0.09418257159095102,0.011481009297443735,0.9194719471947195,0.09058789084779448,0.6068095238095238,0.4821045525790166,4.0,33.61662102508231,4.199355055965688,-0.7444313512334568,0.09593011744581922,0.020723245254789763,0.8666666666666667,0.054192648268258786,0.7938095238095237,0.46543515804820246,1.0,12.946449141826522,0.37551949467749435,-0.4605327838284416,0.09836463044958747,0.015040301626430474,0.8904290429042904,0.07319127449656847,0.7029047619047619,0.4341462326483123,3.0
3,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,8.944985300042704,17.606314368618854,0.37781709714055106,0.09929109489676002,0.013644346362711782,0.9095709570957096,0.2020426928636932,0.6045238095238095,0.3772735338096778,3.0,0.7784968574204714,7.49701223020456,0.06918207271045614,0.0934648460456112,0.008639720558810456,0.9273927392739272,0.09891545132258966,0.5638333333333333,0.47252062726130684,6.0,30.471190696524204,3.7842155191114704,-0.698905106932579,0.09464881165321265,0.021261590345150228,0.8660066006600661,0.08510736918539963,0.7918333333333333,0.5182144021031979,1.0,9.025164762586426,0.3309664288374498,-0.38262038010943905,0.10001973838600474,0.019429286734724483,0.8660066006600661,0.09299610973833641,0.7655476190476191,0.49057548973706466,2.0
4,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,4.9494425555062564,12.655119368639877,0.2612335110937037,0.09727132968625983,0.011372076022667156,0.9313531353135313,0.10729343932283479,0.5455238095238095,0.42189836408959447,1.0,0.5741717968001483,7.229494737862581,0.05380348628275594,0.09307426358611307,0.010868840595591246,0.9194719471947194,0.08232850514629127,0.5860000000000001,0.5191785931960691,2.0,26.32247673512128,2.68690932345878,-0.6409722404181735,0.09364497735339597,0.02141329199546744,0.8594059405940595,0.049871614568707236,0.7578809523809523,0.3448102213972151,2.0,13.602246127089554,0.3583234146613357,-0.4796418159132903,0.09971403329791019,0.018741809701481184,0.8772277227722772,0.08333030187728672,0.7425,0.4343038454538268,1.0
5,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,5.908500372780942,13.43655162564367,0.29650818021824166,0.0992305146147359,0.012914157369773369,0.9082508250825082,0.15133019579899493,0.6015952380952381,0.3859336212125813,2.0,0.7135920271209182,7.174762735709203,0.06486251081463928,0.09395146742850481,0.010091665146997488,0.9320132013201319,0.08201924512066502,0.5969761904761905,0.43612067632989904,1.0,31.85823176455257,3.4303676094794486,-0.7183195203554045,0.09504562871305122,0.018005698584162757,0.8838283828382838,0.04414081410850166,0.6693333333333332,0.4441249508857355,3.0,12.056961101825895,0.10684541297977838,-0.4432096476533163,0.09845862668402529,0.01728192375545075,0.8759075907590762,0.07734530339528668,0.8021428571428573,0.4215507331070617,2.0
6,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,1.1277405825600781,7.75822983090018,0.09382830338794741,0.09512148924675146,0.012508629178466762,0.9128712871287131,0.11196572236419831,0.5668095238095238,0.5814452453901419,3.0,0.2129842825946149,6.492646585863028,0.02275418786351883,0.09372195249184243,0.01057842258190217,0.9240924092409242,0.08508043310495526,0.5566428571428572,0.4806618974664721,3.0,29.122394591610384,3.216225438548183,-0.6790451022699895,0.09409289236122989,0.018645218685553452,0.8653465346534653,0.05204978459557784,0.7844523809523809,0.357089090677664,2.0,12.519204903826127,0.2948218049945287,-0.45275016576890686,0.09850683895614554,0.013223307511802144,0.8917491749174918,0.08490458757188057,0.7336190476190476,0.45120199608071093,2.0
7,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,4.136965183398931,11.697986590098944,0.23338109164301107,0.09706023465128072,0.013496766870811156,0.910891089108911,0.13263528138050643,0.6159285714285715,0.5142505744569318,2.0,1.9117396532172417,10.994393957435582,0.13596664493967384,0.09401816909459117,0.008459439668184248,0.9366336633663366,0.07141101777036035,0.4859285714285715,0.5350085881494403,3.0,26.515193585439672,2.54626941960491,-0.6490885663418106,0.09448916926874892,0.022419046107249322,0.8587458745874588,0.05028485998417637,0.787595238095238,0.42230968981480976,3.0,11.321629896968842,0.0841353784491846,-0.43100274217781165,0.09913988872103187,0.01704653791827766,0.8765676567656766,0.07890629809226507,0.7806428571428572,0.4449391276290082,2.0
8,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,2.5317612208662883,9.337001434729958,0.1710978874338076,0.0976882540885069,0.011782444409594566,0.9240924092409242,0.1797261202391119,0.48380952380952386,0.5398743017771368,1.0,0.9855644064160142,8.64782350170181,0.08386008403229801,0.09420457220456878,0.011558485200813852,0.9240924092409241,0.08336437915704845,0.5489761904761904,0.43044675758103823,3.0,26.969949353387854,2.6269202123414885,-0.6589232518655238,0.0950656993184171,0.022219783774197425,0.8600660066006601,0.04834336801883712,0.7529761904761905,0.3887269643803548,3.0,7.39208737693228,0.6949131992078127,-0.34011526123268876,0.09973489976499504,0.014336490668318335,0.8904290429042905,0.08819672406988881,0.8156190476190476,0.3774439494909247,1.0
9,198,261.71287128712873,229,-0.3402003412338802,0.6,0.3333333333333333,6.204343789422965,-0.3849506091614211,0.1254574110150877,10.449327630463703,17.70814525891369,0.4212618555961948,0.1014229604156582,0.013275174550422347,0.916171617161716,0.1924505690975607,0.6220952380952381,0.5035650408331932,3.0,0.6407512152142301,7.594861552654511,0.05987639067227553,0.09464267535258569,0.012063180800155384,0.9135313531353135,0.10850557204631298,0.5499047619047619,0.39875699347948745,5.0,29.282682022337664,3.0838391148126876,-0.6845184647302409,0.09463219552957679,0.019020322904315507,0.8765676567656766,0.0441282894661585,0.7647619047619049,0.43960664612801387,4.0,18.04500566698095,0.8534931229086706,-0.5483722060625051,0.09779554570724422,0.014317173688791584,0.8924092409240925,0.06272892597007965,0.7529523809523809,0.4170406673716196,2.0
