,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,log_pvalue_control_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
0,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,6.160941545336074,6.106119810398869,0.2761221204488512,0.09009424398158035,0.005431126171113455,0.9580890336590662,0.06632095259174153,0.5915874158004699,0.4411259512194077,5.0,4.193092608436032,4.291868817122823,0.21632975149215317,0.08919592721564046,0.004612435335167754,0.9576547231270358,0.05167099373886221,0.5519744085443559,0.48772739612591204,8.0,2.8306283732179365,4.440967440844151,-0.1746227161913127,0.09257745949662478,0.008747369351912128,0.9294245385450597,0.056441232563503106,0.8083406299035119,0.3820241417500227,1.0,0.3300955877414498,1.0366918150553674,-0.03436192151621608,0.0954567065248512,0.012420459221800025,0.9157437567861021,0.05314159005620735,0.7610146422657802,0.361758226704634,1.0
1,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,6.14885661142303,5.881550621501324,0.2764143542449481,0.09029471784888318,0.00527932544506563,0.9593919652551575,0.07150904626312547,0.5353096202026858,0.45541280886294916,7.0,6.27266666204808,6.561748085257877,0.2791525436918453,0.09011687293474839,0.006964537025688262,0.9465798045602605,0.06891910534281026,0.5830430598781111,0.4169181577007783,6.0,4.211769520063332,6.123580579236212,-0.2241358867783209,0.09215447085592596,0.009884933289554417,0.9246471226927253,0.050095097082402576,0.8064932250262242,0.3462185100285209,3.0,1.8826689422718155,3.433808051195315,-0.13699559782330448,0.09574150245861314,0.011858914978450251,0.9216069489685125,0.06247113758202241,0.7952709556050662,0.3929654433022709,1.0
2,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,5.2221202126862964,5.326100249404591,0.24615213997237534,0.0886855044019306,0.0064055639695507465,0.9489685124864279,0.05515707126123829,0.5775337881769557,0.3605996112325657,6.0,6.8349043122765645,7.141390578204186,0.2939226882862656,0.09019658437521885,0.006279380713123855,0.945928338762215,0.07155855631898729,0.5672321869771394,0.4593410892217276,11.0,3.3910319747223334,5.281834235875356,-0.19581478698820154,0.0923236323626743,0.008787263893253015,0.9285559174809989,0.058618028813660086,0.7912441157857322,0.3975345891559768,1.0,1.556215080988581,2.9017141812875717,-0.11970097288685315,0.0957337828871113,0.010388922841945201,0.9289902280130292,0.05187712634665106,0.7795320370001128,0.3383726288973471,1.0
3,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,9.513459827910404,9.55149069222595,0.3523533361576546,0.08934775478062665,0.005120871408062463,0.9554831704668838,0.08057661642956342,0.5888912969978587,0.47772514531570015,9.0,3.692279476557048,4.064244879264035,0.19856442751962172,0.08867985034063822,0.004537495472180259,0.9587404994571119,0.04540505515817048,0.5961604147341593,0.5210438967149438,4.0,2.949302675700606,4.863477516297972,-0.17917588955789435,0.09246882987256555,0.01086040485207833,0.9192182410423452,0.051204896636746045,0.8280933845393624,0.35118430857177696,7.0,0.15664809330538104,0.7145698867402602,-0.01759777064537951,0.0963025483681571,0.010913733631727091,0.9242128121606948,0.04559845403186495,0.7687813716396042,0.43804461784288956,1.0
4,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,11.800255451857518,12.923198816629135,0.40563742670185277,0.0911504209576216,0.0060566463153428046,0.9530944625407166,0.09416626029054082,0.5747700496744719,0.4641580756971055,8.0,6.257314965438987,6.909991301081678,0.2785974310440509,0.09006740432162143,0.004869393477253215,0.9567861020629749,0.06778394391791602,0.5599396624216523,0.4205097996147418,4.0,2.9194836995981754,4.69339798170574,-0.17983580741302174,0.09343141680366243,0.010257685985748877,0.927687296416938,0.053166724766482196,0.835170913126024,0.34836413486725165,9.0,1.1117915939546192,2.245893060287333,-0.09385004368001468,0.09617037604766697,0.012085532857022055,0.9209554831704669,0.052520157241396234,0.7373668195334242,0.36144088249801815,5.0
5,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,6.940516323024891,7.435129179643679,0.2929216277102019,0.08907777279764288,0.004928210083373912,0.9576547231270358,0.06630406878976515,0.5628082981508612,0.4937283045164973,6.0,2.5579737561381304,2.5029415160555746,0.1576022275494318,0.08935320285812294,0.004760822620444525,0.9563517915309447,0.03901441285265721,0.536015292455202,0.47825563700245166,4.0,2.023428812879537,3.3248240360381867,-0.13889652946648814,0.09232736144056124,0.011036168509617094,0.9224755700325732,0.05417120411241142,0.820037104143007,0.4315409969242723,11.0,1.456582460670645,2.753080260073628,-0.11339835514182284,0.09513164414391866,0.01237435142424768,0.9194353963083605,0.047943878957751734,0.7862454595105375,0.3576260683997051,1.0
6,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,7.940252868623356,7.896173267662243,0.31938967073347385,0.08981636918916577,0.0050786643282227425,0.9570032573289902,0.07677851672588598,0.6353018179296235,0.41452146666278583,8.0,9.227948474478758,9.866392756912088,0.35188228631338164,0.09079472454476431,0.007624917571716539,0.9463626492942455,0.08481706002836849,0.6414673474872347,0.4759058848189268,5.0,4.236891589652899,6.31099153444975,-0.2275423217255088,0.09321246153122603,0.008869170786145538,0.9289902280130294,0.06367686779381732,0.7948600358904561,0.3643756548481354,1.0,4.644107168882674,7.20166805744931,-0.2487187174672104,0.09627298798099446,0.011350931198526959,0.9153094462540717,0.07295025941949937,0.8306811384383318,0.27681619412875025,4.0
7,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,4.193777919011212,4.772238105903702,0.21677780348837808,0.08937127636734714,0.004986961870787219,0.9541802388707926,0.047633656103374354,0.5723738849251415,0.3859448156667657,3.0,3.78989806720989,4.098436259472904,0.20317932035839764,0.08925469579033574,0.004608961869809544,0.9598262757871879,0.04919258559018724,0.5897330755693493,0.4869824978876995,6.0,3.0972867918510585,4.848500176137879,-0.18373633905124576,0.09184617702092286,0.009543933021581377,0.9229098805646037,0.04593157171375176,0.8143379771306707,0.39100363823776935,1.0,2.5486627822155055,4.41628977308816,-0.16720532304136562,0.09502675890925076,0.012258228631355577,0.918783930510315,0.05338970448131165,0.7683557142980988,0.3624437066403965,2.0
8,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,10.837120856031328,11.861484853495273,0.3813334025959639,0.08984439935079634,0.005264627226561449,0.9543973941368079,0.08740016604378181,0.6236547580861892,0.48011864197292486,5.0,5.9350827255606795,6.623091775077136,0.26694939474902746,0.08905093887278204,0.005373665166687917,0.9530944625407166,0.06181069943422811,0.622297162573363,0.46199338542846224,3.0,3.6273049963936246,5.520278316911929,-0.20396868403298926,0.09212527344395392,0.0071325039308649425,0.9394136807817588,0.049628796388088564,0.7973255541781172,0.42220657185784904,11.0,1.2342956697612864,2.391166693042604,-0.10044661393646231,0.09516876985660816,0.010167105011469486,0.9292073832790443,0.05499057666025404,0.7499969657826979,0.3752636362690332,5.0
9,0,258,250,0.0034266868486105538,0.0,0.04052473484078797,0.004424520437393704,0.08907652304006097,5.05047479255356,4.9067058587946,0.24114906375949535,0.08866287275547276,0.0053953546395913215,0.9604777415852335,0.05702982163756652,0.5820400343300014,0.3745471783709132,8.0,4.546675852369207,4.828765932810763,0.22578572751526083,0.08853429167724923,0.005660560751278932,0.9533116178067318,0.052232268321272916,0.5862497941066831,0.4530080730530984,5.0,3.4359992814134586,5.5236055572087865,-0.19963363340379817,0.09333413623707681,0.008115888987400725,0.932030401737242,0.060146746453109246,0.7984334769529522,0.28669169060442307,1.0,1.7509232249867808,3.1143288062759016,-0.1305504285055109,0.09600402340924773,0.010718492150121243,0.9218241042345278,0.0520315221073182,0.7858917564650502,0.3249852962560373,5.0
