,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
169,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,5.41555168566193,0.12298177314429923,-0.2616792102401669,0.0922484583680928,0.0055085115569421614,0.9615635179153093,0.015913360504327838,0.5751120741462395,0.3885283721427125,5.0,4.372462855792104,0.9106710287787927,-0.22741329236534108,0.09136382330375828,0.005116468548799958,0.9572204125950053,0.01689597465644367,0.6083031918268925,0.3217341256224918,7.0,12.465073547844067,1.93034926902343,-0.4608214062646612,0.10048989252212989,0.010255183142964584,0.9268186753528772,0.06043704390238959,0.7735514346610527,0.32664995601333047,1.0
170,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,3.1088398856871624,1.5902018899498973,-0.1839521963732997,0.09174086938923874,0.005884284450486875,0.9561346362649294,0.02886642542409797,0.563164963935952,0.37898433257547104,7.0,4.086557388942916,0.47464365796731506,-0.21976481098987094,0.09209133750843154,0.00543816935451724,0.9639522258414767,0.019502611913885973,0.5787477183906115,0.49111502562518466,9.0,16.065787541687467,3.9921434188039355,-0.5315165883984646,0.10094304892739947,0.009611851224572619,0.9292073832790445,0.056774235339656795,0.7418036254415467,0.27434412267801683,1.0
171,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,3.670681033838044,0.8963928345210829,-0.2039738412618725,0.09144556460854335,0.004460868425182427,0.9602605863192182,0.021328170006481406,0.5435453006000929,0.4810189977096445,6.0,5.828217761524551,0.06909888350503199,-0.2726841464125313,0.09197843038280067,0.004331770699660457,0.9672095548317046,0.01689447932263132,0.5767653466615403,0.4486167127019266,8.0,20.048162204381274,5.859920827654752,-0.5929723947312493,0.1000223675942891,0.011206584394941044,0.9183496199782845,0.06869117807613996,0.7409255091083962,0.30191126655220013,3.0
172,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,3.335878197959788,1.3553232676850477,-0.19374522015240347,0.09232877219318321,0.005261032816009655,0.9574375678610207,0.027775133098039497,0.5475439493647577,0.40221435889760654,8.0,4.454385000862532,0.4677860538913847,-0.23144416513384228,0.09192554531449108,0.0059747618112410816,0.9604777415852334,0.02250476653835872,0.5798224232900216,0.4720828183968271,5.0,18.807063402377945,5.6329270103369815,-0.5792167894693465,0.10107364407447478,0.009224323949311877,0.9289902280130293,0.0705151079734042,0.76635791063681,0.27602828149236946,1.0
173,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,2.0836426501327017,2.314817598731445,-0.1413558914647642,0.09208942009387024,0.0053653749693006155,0.9570032573289902,0.031670231044247085,0.5170375720565528,0.3655869355624486,9.0,4.069633082189852,0.6875482886425973,-0.21710004281723116,0.09120715095118369,0.004548552673665206,0.9652551574375678,0.018789663246232727,0.6055907673050819,0.3952596345839086,6.0,13.67948774766445,3.066624070103844,-0.4970842710849101,0.10304544166447098,0.010698953581861508,0.9231270358306188,0.06666068013464094,0.7718169760448124,0.3113270214755598,1.0
174,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,4.590395691582565,0.573945966968734,-0.23334152242024028,0.0909719905701281,0.00570123990619865,0.9619978284473399,0.0180154405343081,0.5694585975769836,0.4064871504878447,7.0,4.408694088748291,0.5895307101459294,-0.22890691507004599,0.09149875715939426,0.004900963098632469,0.9637350705754614,0.021039744262804527,0.5638676436371871,0.3291326605094316,2.0,16.301948599454725,3.895836021297095,-0.5243448892714528,0.09879991937765212,0.008143485320676234,0.9328990228013031,0.05116351253733379,0.7450162309990307,0.35727819687820556,3.0
175,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,2.1158240817813683,2.2733754583217283,-0.14252844180610916,0.09188053251815272,0.005215125627425012,0.9567861020629749,0.03179563347753256,0.5246703097762997,0.4596569451068557,10.0,2.8601194756778465,1.3173297153060715,-0.17495554373414743,0.09213419986577152,0.005453586937595279,0.9622149837133551,0.030661987466613673,0.5674637835335924,0.4545884706747139,7.0,18.347292354325948,5.708811778245261,-0.5759546100592815,0.1018296387806861,0.011092875977727238,0.91900108577633,0.06845063878233552,0.7519005635124154,0.3632863367638017,2.0
176,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,6.020106822748895,0.07743824391413111,-0.27468169544879634,0.09087451010620458,0.005148648445420363,0.9572204125950053,0.01864802541444645,0.5690389805265338,0.416267765560328,5.0,6.603876404481059,0.12980235090253123,-0.2957558460732834,0.09262609614061285,0.006145475915335436,0.9593919652551576,0.014096854031611422,0.5173284111537882,0.38957492119354536,4.0,18.19789509141979,5.188643804732126,-0.5731591418233136,0.10175633127549619,0.010388378560162594,0.9216069489685125,0.06675651436508093,0.7393540448097508,0.3774395718476234,1.0
177,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,3.9849080010754774,0.6840152954084847,-0.21487014740061486,0.09146830612403561,0.005476442275345863,0.9583061889250815,0.01524851785528877,0.570221622502672,0.4193226718556287,9.0,5.1170114032187275,0.3438828517647101,-0.2519921595800957,0.09193211804429921,0.00471892266134033,0.9615635179153091,0.01882409304790996,0.5881357556030852,0.3497731398559193,4.0,12.336688948536423,2.3088263549162282,-0.463994773911418,0.10176549646587371,0.011496776325271556,0.9200868621064061,0.05920909669635106,0.74187641298032,0.3359965816803407,1.0
178,3,256,226,-0.3446668386157489,0.6000000000000001,6.2684824247447155,-0.28473409723303655,0.0919657154135548,2.465748982212878,2.0552958952850324,-0.15804922519034184,0.09184014076495808,0.0061547402088341086,0.9580890336590663,0.027928174989389168,0.5816897036116306,0.45212864384877843,8.0,7.157260405818765,0.2928389508569945,-0.3046603114019574,0.09101325439516027,0.005831196500051963,0.9585233441910965,0.010394567128970144,0.5476052277627849,0.44519949003180925,5.0,16.04980926495866,4.243950378056712,-0.526940939497811,0.10009510337700994,0.010685801089114379,0.920086862106406,0.05578049816860048,0.766723092562109,0.30266835059164837,3.0
