,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,log_pvalue_control_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE,log_pvalue_HI-VAE_weibull_prior,log_pvalue_control_HI-VAE_weibull_prior,est_cox_coef_HI-VAE_weibull_prior,est_cox_coef_se_HI-VAE_weibull_prior,J-S distance_HI-VAE_weibull_prior,KS test_HI-VAE_weibull_prior,Survival curves distance_HI-VAE_weibull_prior,Detection XGB_HI-VAE_weibull_prior,NNDR_HI-VAE_weibull_prior,K-map score_HI-VAE_weibull_prior,log_pvalue_HI-VAE_piecewise_prior,log_pvalue_control_HI-VAE_piecewise_prior,est_cox_coef_HI-VAE_piecewise_prior,est_cox_coef_se_HI-VAE_piecewise_prior,J-S distance_HI-VAE_piecewise_prior,KS test_HI-VAE_piecewise_prior,Survival curves distance_HI-VAE_piecewise_prior,Detection XGB_HI-VAE_piecewise_prior,NNDR_HI-VAE_piecewise_prior,K-map score_HI-VAE_piecewise_prior
0,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,6.654773246815802,6.642498310740806,0.28577563391797844,0.08907218102961972,0.006905407318587185,0.9537154989384289,0.053495639868587797,0.6442119978218288,0.35150403330628655,8.0,4.046431721978261,3.6611554326384965,0.21021058123059133,0.08861514031507621,0.007317452682811632,0.948619957537155,0.037613805121379906,0.6435821162395664,0.4263904113696174,12.0,4.7198697429982905,4.860007443376193,-0.2391520811310417,0.09163405929553105,0.011461178436544373,0.9125265392781315,0.04625870541238427,0.8849096627898471,0.28754989894823446,3.0,3.304343756165345,3.533022985304354,-0.1854302109581421,0.08889208368552895,0.009609373538998803,0.9339702760084926,0.036946263786876314,0.7698664651045604,0.3196726578062212,4.0,7.652196233809297,7.559004905957816,0.3110049151678617,0.0893368929989993,0.007525602376503539,0.9479830148619957,0.05602526467229983,0.6098033956712913,0.3614664702941055,6.0,3.105621626488218,2.96487810428142,0.17708021043090047,0.0883620407639609,0.007693382092460046,0.9496815286624203,0.031444066579997196,0.6203854062533017,0.40324786385431477,12.0
1,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,7.175392245899031,7.1759452870756855,0.2985638719006568,0.089035644112581,0.00626638724536178,0.9496815286624204,0.050196562304815326,0.639984070091597,0.45044103191068774,12.0,4.426655737646463,4.273221359013605,0.22351065353021907,0.08910422125027326,0.005827798933666071,0.9505307855626326,0.03816132081505618,0.6074464194279863,0.40860385551239087,4.0,6.6885214998933105,6.804645552415846,-0.2971315204180958,0.09232365917843752,0.011393302003968325,0.9135881104033969,0.049529808377136705,0.8948910508050293,0.3374965334562494,6.0,3.0566418270190243,3.2879290646713466,-0.17805652628486135,0.08977087033190899,0.009432402917547484,0.9307855626326965,0.039829861844636674,0.7684132673379985,0.2817998179057968,1.0,8.037467317481648,8.387012716920866,0.3195309891347716,0.08920864339143676,0.0061921656044086875,0.956687898089172,0.059436180786375414,0.5556343923471421,0.4507697152562617,5.0,3.8891421651109797,4.267769195234321,0.20366372853661582,0.08801717326900976,0.006459480404299361,0.959235668789809,0.039440461225673594,0.5636456733230927,0.4201898396171228,12.0
2,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,6.072107882037699,6.10294666091812,0.27164458242713085,0.08939196283039098,0.004931067459019594,0.9594479830148619,0.04998690472137953,0.5933021237168703,0.36908773137283635,9.0,5.753029338148985,5.744802785501639,0.2634078795904173,0.08952107942957883,0.0067190034303481905,0.947983014861996,0.05185179660285446,0.5909809084924291,0.3522808583014274,8.0,4.70777350667946,4.8694015213290385,-0.23767736325001165,0.09121154968866675,0.012096027045886366,0.9029723991507431,0.045570865493671425,0.9128885962987345,0.27384153793633176,1.0,0.8738947327045327,0.8517333788868533,-0.07302406528433046,0.09005250230076811,0.012702974616175136,0.9227176220806794,0.02519198811272203,0.7960549094189646,0.39067213455741207,1.0,8.524906085488595,8.469864234174759,0.33199001319024873,0.08959925463504509,0.005574282445993787,0.9541401273885353,0.05800691783713584,0.6205942831134843,0.38989648651527087,5.0,1.3357944780468352,1.5571541090590517,0.09841203844768222,0.08794603535983914,0.0051303531125113985,0.9628450106157113,0.02262024573118338,0.5654954932988727,0.3674020920661902,7.0
3,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,6.421993710142261,6.672176086974913,0.2809163734075548,0.0894211693078427,0.006589712207310299,0.9573248407643311,0.057992933155738474,0.645047505262559,0.42649217868206285,11.0,5.2634986999554725,5.282536959173375,0.24950570184288368,0.0894637318510386,0.0052181674681852485,0.9600849256900211,0.047749492686532835,0.5774380480985704,0.3734784000431279,7.0,6.908087053246657,6.941031433795301,-0.3002424943265855,0.0915389917107773,0.010880638637304402,0.915923566878981,0.047212522925524615,0.8839319240240899,0.2902010392571872,2.0,3.199642374369719,3.406713370352165,-0.1840752118326893,0.09009538805047931,0.012101116448137602,0.9188959660297242,0.03615942301515998,0.7903063256365868,0.24262244582693782,4.0,7.336090672188312,7.372101234919675,0.30021254592362523,0.08836981703970452,0.007229385094247831,0.9526539278131634,0.05148431916823684,0.6076853680540317,0.48846379267027173,9.0,4.912683084166053,5.034183950239201,0.23763250427310986,0.0888576418409978,0.006414609455120689,0.9545647558386411,0.04138042898076071,0.6130706523947691,0.4150642464539078,9.0
4,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,3.9697401809094495,4.1381270187443615,0.20831245500869683,0.08887650096058415,0.004633256790533293,0.9600849256900212,0.0362383754034473,0.6224010273165419,0.37466521799575203,9.0,4.863096683922928,4.770712594261289,0.23668325996323658,0.0890518698697439,0.006326054404330319,0.9503184713375799,0.04209471624553994,0.6280862165654792,0.4702237190840633,12.0,6.1221690515682115,6.376630333938846,-0.28123375105702614,0.09207946570717693,0.010552730220497046,0.9127388535031847,0.04824953096822115,0.9094961760092328,0.36835924778369056,1.0,4.415356911665902,4.44686264071809,-0.2237007783052092,0.08931153848472184,0.011807303498351763,0.9252653927813164,0.040008783290416024,0.7978868488853128,0.30217140539192133,3.0,7.366806300460505,7.342423636650131,0.3030741875962408,0.08900261960884237,0.005040801794217702,0.9573248407643312,0.05202768945604877,0.6206771836572142,0.3676514638349632,12.0,4.2183102196872655,4.161593085217297,0.21838484372401795,0.08970661829639512,0.004701173772951597,0.9649681528662423,0.03877849673713788,0.6181072668015833,0.40376551849468545,8.0
5,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,5.701074722957209,5.984256252762481,0.26016808300806354,0.08889979500772675,0.005205443366162238,0.9592356687898089,0.04643994124438902,0.5759572168174318,0.3842904118866323,11.0,6.515382053553609,6.57720083641191,0.2834120232526506,0.08945001914638763,0.006374454274181699,0.9530785562632696,0.05197120935177491,0.5958956103349344,0.3966437364150056,9.0,6.9734044276510705,7.116145245592944,-0.30106366937148415,0.09128134373379987,0.01296477610548668,0.8959660297239914,0.045483780444301944,0.9053568380757321,0.3110119051261401,3.0,4.100180478623396,4.220516181392868,-0.21537046272984137,0.09004162251161275,0.009612019935878275,0.9363057324840764,0.040526167529293895,0.8012053088858003,0.32445734901648654,2.0,6.024888325649217,5.80811231640273,0.26809415592950153,0.08862773264965301,0.0067171171688858305,0.9526539278131634,0.04676238707192848,0.6251741317793545,0.3850396646868023,11.0,3.8717424035591153,4.048800079624813,0.20294054713923584,0.0879519601141918,0.006912334182774984,0.953927813163482,0.036081877532077714,0.6206341078844918,0.32449811587193644,9.0
6,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,6.070461984623029,6.091543974518676,0.2714695885095816,0.08934407847514253,0.00537064056861625,0.9571125265392783,0.05146466472052499,0.6243264330821935,0.298866076529707,11.0,5.076689126692699,4.894318039739977,0.24470064783800127,0.08968404765382156,0.00621480182323314,0.9547770700636943,0.05277869775181506,0.620200911905981,0.42308822211973396,6.0,7.043398534785683,6.911011114393913,-0.30689505353078617,0.0925130495490271,0.011975679828609484,0.9104033970276009,0.04877188281562624,0.9042758800055267,0.27707228735802186,1.0,4.916139493451158,4.994075253490334,-0.2382072454541632,0.08902574304421,0.011718329698663904,0.9208067940552017,0.04163843225457253,0.8161371597623518,0.33747494346559964,2.0,8.977747448793277,9.212333391196253,0.3413141233790697,0.08944023784714815,0.005780708152368147,0.9558386411889597,0.05976505679516128,0.6273303586667642,0.41111447810400187,10.0,6.036757874591892,6.172073357952605,0.26820998965302006,0.08856777074894284,0.005951261532335385,0.9571125265392781,0.043424530438843464,0.5756321166459415,0.3838947778817677,11.0
7,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,7.926064295374159,8.171284044116074,0.3166325917727699,0.08912248369509364,0.005379826833306969,0.9583864118895967,0.05549515651186612,0.6228447890506262,0.421264467887881,14.0,7.6542325230020545,7.613734717561278,0.3145770444793873,0.09034960308419981,0.005033611169766792,0.9581740976645434,0.0657294975894889,0.6313225887726656,0.3373190532389005,8.0,8.089967993573604,8.087804284671876,-0.33272845539440227,0.0925315460506977,0.012270381395452655,0.9014861995753716,0.05066441008168901,0.9079438226903666,0.36617653632774827,1.0,3.5939273442480735,3.4747400094914247,-0.1977315721729511,0.08983190394845593,0.011713207430950145,0.9235668789808918,0.03698734271102941,0.7910524305301572,0.2483965378971925,2.0,3.2709402449562184,3.5032117069617708,0.18402271662514016,0.08879908395205846,0.006577444953680985,0.9532908704883228,0.035695654091447,0.6018888319963589,0.39832010405367146,7.0,0.9267240149451741,0.9570400069810224,0.07460407039756398,0.0878867223590952,0.006473857078715521,0.9585987261146497,0.019498014753202293,0.6021944261575598,0.3446464201160925,7.0
8,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,9.706967780570999,9.730288456700384,0.3583271698541285,0.08981754772816258,0.005323101031311093,0.9552016985138004,0.06259954004319854,0.629510155316607,0.34863614403062215,7.0,2.872344848205895,2.821791281563115,0.1688145261172497,0.08865324891836107,0.006185579669745073,0.9511677282377919,0.03180452670575236,0.6073797738928306,0.3477206426174499,10.0,7.095801100766845,7.151666466120192,-0.31019382801132134,0.09309447664936944,0.01228406261402209,0.8980891719745223,0.04984869080288582,0.892253675663814,0.398192001034743,1.0,1.656021688417073,1.655168212911739,-0.1170371602864201,0.08953147058561259,0.009794218699037103,0.9322717622080678,0.03146722707871559,0.7962897942928666,0.3140279326151281,1.0,6.47114743236848,6.560033680606615,0.2815818252117443,0.08923185161668847,0.006117465544391719,0.9501061571125266,0.05026847330196706,0.5871227822072675,0.41815965162207586,7.0,1.9688579916760491,1.9918850651582907,0.1297353004084465,0.08788368614372047,0.005930012254993971,0.9575371549893841,0.025926936617284548,0.6261242370305351,0.4791252967161668,13.0
9,120,266,248,0.0034266868486105538,0.0,0.07195601319380998,-0.00767983566073915,0.08836857519261326,4.144690705040202,4.136437203549611,0.21346538204766086,0.0886492110240648,0.005180577474223223,0.9588110403397029,0.03759039220505782,0.6025349685871959,0.39867689402437423,8.0,6.297217415490346,6.3225849825683955,0.2767144361791433,0.08911317926824644,0.006688403231604986,0.9526539278131634,0.05106379873747682,0.6252789765846603,0.46943747223130905,8.0,7.750762976857579,8.007519326547527,-0.3226663920264793,0.09198518480110869,0.011527025749281855,0.9057324840764331,0.04872516662693516,0.9046383666967385,0.2976917870686632,4.0,1.288979348720256,1.0865794276301475,-0.09649617053129121,0.08853191998799531,0.012468870880048792,0.9208067940552017,0.02788076584278689,0.8007444793927128,0.3439450498558139,1.0,7.759077582955005,7.493788941253255,0.3154406106646174,0.0898925555099172,0.0050833748826881004,0.956475583864119,0.05808594422357141,0.625875535399345,0.36160461582524833,11.0,2.7800299078808592,2.6776117057350834,0.1645266152878108,0.08826482514739677,0.006156103057461095,0.9581740976645435,0.02953552652626436,0.6205243865766139,0.34366473445934664,7.0
