,name,type,dim,nclass
0,feat1,real,1,
1,feat2,real,1,
2,feat3,real,1,
3,feat4,real,1,
4,feat5,real,1,
5,feat6,real,1,
6,feat7,cat,1,2
7,feat8,cat,1,2
8,feat9,cat,1,2
9,feat10,cat,1,2
10,feat11,cat,1,2
11,feat12,cat,1,2
12,survcens,surv,2,
