Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8733184842932269
HI-VAE_weibull,80,1.0,1.0,1.0,0.8662480717728217
HI-VAE_weibull,120,1.0,0.9916666666666667,1.0,0.8684056033502874
HI-VAE_weibull,160,1.0,0.99375,1.0,0.87318355753403
HI-VAE_weibull,200,1.0,0.995,1.0,0.8759643560240944
HI-VAE_piecewise,40,1.0,0.975,1.0,0.844488312186443
HI-VAE_piecewise,80,1.0,0.9875,1.0,0.8346646568617727
HI-VAE_piecewise,120,1.0,0.9916666666666667,1.0,0.8339937765241939
HI-VAE_piecewise,160,1.0,0.99375,1.0,0.837019591019669
HI-VAE_piecewise,200,1.0,0.99,1.0,0.8341882964906318
Surv-GAN,40,1.0,1.0,1.0,0.7909622717430465
Surv-GAN,80,1.0,1.0,1.0,0.7973865019695507
Surv-GAN,120,1.0,1.0,1.0,0.8031485124335495
Surv-GAN,160,1.0,1.0,1.0,0.805003223550897
Surv-GAN,200,1.0,1.0,1.0,0.8016007633075833
Surv-VAE,40,0.425,0.55,0.9,0.45957224625704873
Surv-VAE,80,0.3875,0.525,0.8625,0.44412180264236484
Surv-VAE,120,0.36666666666666664,0.5083333333333333,0.875,0.4453229376260222
Surv-VAE,160,0.35,0.4875,0.84375,0.4325475369909272
Surv-VAE,200,0.33,0.47,0.845,0.43555253773186114
