Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.975,1.0,0.8723434171676427
HI-VAE_weibull,80,1.0,0.9875,1.0,0.877125104588292
HI-VAE_weibull,120,1.0,0.9916666666666667,1.0,0.8704232525976369
HI-VAE_weibull,160,1.0,0.99375,1.0,0.8742656569689856
HI-VAE_weibull,200,1.0,0.995,1.0,0.8660407668548542
HI-VAE_piecewise,40,1.0,0.975,1.0,0.8763439680275991
HI-VAE_piecewise,80,1.0,0.9875,1.0,0.872654105150624
HI-VAE_piecewise,120,1.0,0.9916666666666667,1.0,0.879501762441923
HI-VAE_piecewise,160,0.99375,0.9875,1.0,0.8790836116341503
HI-VAE_piecewise,200,0.995,0.985,1.0,0.8796088352291731
Surv-GAN,40,0.05,0.275,0.775,0.3312821031252723
Surv-GAN,80,0.0875,0.3,0.7875,0.34093562108235587
Surv-GAN,120,0.09166666666666666,0.3333333333333333,0.7916666666666666,0.34093611832100573
Surv-GAN,160,0.0875,0.31875,0.7625,0.33386243453821673
Surv-GAN,200,0.1,0.33,0.765,0.3379663066641269
Surv-VAE,40,0.225,0.025,0.775,0.35828174323372175
Surv-VAE,80,0.225,0.025,0.775,0.35270179631787824
Surv-VAE,120,0.225,0.025,0.7416666666666667,0.3484556988874727
Surv-VAE,160,0.2125,0.01875,0.73125,0.3480159975381487
Surv-VAE,200,0.19,0.02,0.72,0.3437350018290604
HI-VAE_weibull_prior,40,1.0,1.0,1.0,0.8656178812571171
HI-VAE_weibull_prior,80,1.0,0.975,1.0,0.8501103310792416
HI-VAE_weibull_prior,120,1.0,0.975,1.0,0.8528188366706043
HI-VAE_weibull_prior,160,1.0,0.98125,1.0,0.8560912508238973
HI-VAE_weibull_prior,200,1.0,0.985,1.0,0.8543962290108414
HI-VAE_piecewise_prior,40,1.0,1.0,1.0,0.8571524625325943
HI-VAE_piecewise_prior,80,1.0,1.0,1.0,0.8626097262036163
HI-VAE_piecewise_prior,120,1.0,1.0,1.0,0.8597455490768072
HI-VAE_piecewise_prior,160,1.0,0.99375,1.0,0.8611822902539863
HI-VAE_piecewise_prior,200,1.0,0.995,1.0,0.8589882267299251
