J-S distance,KS test,Survival curves distance,Detection XGB,NSND,K-map score,Identifiability score,NNDR,generator
0.006940392283636839,0.9535984848484849,0.023361176549193056,0.5914056396050855,0.08364528157439638,2.0,0.5052083333333334,0.8000809605824872,HI-VAE_weibull
0.007099693939841589,0.9507575757575757,0.01690639246011182,0.497698700191775,0.10433643589064286,4.0,0.5520833333333334,0.7979454968478662,HI-VAE_weibull
0.007732205851498014,0.9540719696969696,0.017676572428152768,0.5758612117337879,0.17127908815455192,1.0,0.53125,0.7876817918497037,HI-VAE_weibull
0.006997372897079409,0.9474431818181818,0.016479024179975044,0.5419454506712125,0.11947574832520069,5.0,0.5104166666666666,0.7961344276296638,HI-VAE_weibull
0.008951549836032649,0.9441287878787878,0.01389289009780618,0.5691668442360964,0.14344081671623396,1.0,0.4479166666666667,0.7995480228823073,HI-VAE_weibull
0.007164104773597915,0.953125,0.02214159037396796,0.5276084949215143,0.10632957616620646,1.0,0.53125,0.8013044691395962,HI-VAE_weibull
0.007238390850932913,0.949810606060606,0.013847565542314687,0.5688117053768023,0.12065020328786456,1.0,0.5,0.7888557363417131,HI-VAE_weibull
0.0076306003847372884,0.9446022727272727,0.03399523628407655,0.5501278499893459,0.10315066028488389,1.0,0.4791666666666667,0.801003047087467,HI-VAE_weibull
0.009409315880750847,0.9460227272727271,0.02788877702798498,0.5427587186589957,0.13177504240983073,1.0,0.515625,0.7974181513541492,HI-VAE_weibull
0.00689461533861473,0.9479166666666667,0.008228183581368075,0.601360181831096,0.14649350005969988,1.0,0.4895833333333333,0.8062090348766201,HI-VAE_weibull
0.007742380731386026,0.9502840909090909,0.017987143833871396,0.4934050713829107,0.10955881650940362,4.0,0.4895833333333333,0.7916695024221396,HI-VAE_weibull
0.007059104489940487,0.9464962121212122,0.019476536337816062,0.5573655799417573,0.13235034975617088,1.0,0.515625,0.7888102840115641,HI-VAE_weibull
0.009161147913106,0.9408143939393938,0.027072412422089517,0.5868634135947156,0.17703498925888192,1.0,0.4583333333333333,0.7993729663813914,HI-VAE_weibull
0.010509809948053674,0.9346590909090909,0.06778674673652352,0.5449108601463172,0.10794838918434535,2.0,0.4791666666666667,0.799953021676819,HI-VAE_weibull
0.008097502692890291,0.9488636363636364,0.025116779327437222,0.5197705802968962,0.230781269789457,2.0,0.5885416666666666,0.8033091585689701,HI-VAE_weibull
0.005560451602420378,0.9602272727272727,0.00843817914596508,0.5542581149229349,0.22606993343169232,1.0,0.5052083333333334,0.8067385515995105,HI-VAE_weibull
0.006574317067224655,0.9583333333333333,0.020974761555746724,0.5488457987072946,0.10084292827162859,3.0,0.5364583333333334,0.803881387939774,HI-VAE_weibull
0.008530215408803476,0.9483901515151515,0.018027628677091657,0.5654520917678811,0.13744098527417056,1.0,0.4739583333333333,0.8006480395397149,HI-VAE_weibull
0.008022771924481044,0.9512310606060606,0.03308324183633341,0.5881525676539526,0.20323356232668885,2.0,0.5052083333333334,0.8120014334767625,HI-VAE_weibull
0.00881243461464525,0.9379734848484848,0.023659871682231312,0.597641877974288,0.10984227917267668,1.0,0.546875,0.8007353545516792,HI-VAE_weibull
0.009083667887477278,0.9446022727272727,0.03234913086877455,0.47333262305561474,0.11016378063664463,1.0,0.515625,0.7923085611795164,HI-VAE_weibull
0.007342515994496363,0.9521780303030304,0.01543487054441033,0.5401733077633354,0.19538348091872756,1.0,0.484375,0.8118160455827877,HI-VAE_weibull
0.008443317655328013,0.9469696969696971,0.022104001341802695,0.5930889977981391,0.13874007136850008,1.0,0.484375,0.806903964796297,HI-VAE_weibull
0.007110863701618723,0.9517045454545454,0.022337222940652914,0.5071205341288444,0.1329827567876435,1.0,0.5,0.8042347522829333,HI-VAE_weibull
0.00877341156562473,0.949810606060606,0.05233591939815237,0.5169472263655089,0.19383553789299166,1.0,0.4791666666666667,0.8041355545394172,HI-VAE_weibull
0.0076714405210355,0.9512310606060606,0.037026447279240635,0.5670821791320406,0.12290286259516785,1.0,0.4583333333333333,0.7928054795927425,HI-VAE_weibull
0.007828323375787524,0.9469696969696969,0.0156247682828556,0.5582250159812487,0.09643239953217571,3.0,0.5364583333333334,0.789227365486091,HI-VAE_weibull
0.008070669436900813,0.9488636363636364,0.04040200677555967,0.5488422473187016,0.10619051846469024,2.0,0.453125,0.7919229398307058,HI-VAE_weibull
0.008244130570201224,0.9521780303030302,0.025472350147426766,0.5244477590737978,0.2501890159949425,1.0,0.4947916666666667,0.802817015567808,HI-VAE_weibull
0.0075793116550969515,0.949810606060606,0.024270402326413747,0.596338518360679,0.13869153828514072,1.0,0.46875,0.8054737867607847,HI-VAE_weibull
0.00811634309147412,0.9474431818181818,0.03830178694376152,0.528396903189147,0.07566762119686582,1.0,0.5,0.8024194846898541,HI-VAE_weibull
0.006677583295613778,0.9545454545454546,0.02412384072956836,0.5636586405284467,0.2563037805851806,1.0,0.4791666666666667,0.8052051182852646,HI-VAE_weibull
0.006759302976304315,0.9479166666666667,0.021694456095332076,0.5819376376163079,0.21178159316149978,1.0,0.46875,0.7940739105294995,HI-VAE_weibull
0.007998147527524343,0.9502840909090909,0.016884154642470527,0.4902301299808225,0.16461776840626619,2.0,0.5208333333333334,0.8075428432598538,HI-VAE_weibull
0.009387012952876876,0.9417613636363636,0.01389440147993255,0.5752255131756516,0.12809044348445683,1.0,0.4947916666666667,0.7948726453499853,HI-VAE_weibull
0.0069672710474068915,0.9483901515151516,0.024488161132246573,0.5842886568648341,0.14906504460904532,1.0,0.4635416666666667,0.7923754848704225,HI-VAE_weibull
0.008685099451245059,0.9493371212121211,0.021143590334018247,0.5241174799346545,0.08950499279022295,2.0,0.515625,0.7877946140801534,HI-VAE_weibull
0.008921199790087458,0.9502840909090909,0.036401305742144105,0.5497443000213084,0.16004995734267138,1.0,0.46875,0.8190425227518572,HI-VAE_weibull
0.007335954894061411,0.9521780303030304,0.023905017486355047,0.5334505291569004,0.20130340069618793,2.0,0.5,0.8075064476779897,HI-VAE_weibull
