Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.6980193776683823
HI-VAE_weibull,80,1.0,1.0,1.0,0.6978515376534584
HI-VAE_weibull,120,1.0,1.0,1.0,0.6904344627553871
HI-VAE_weibull,160,1.0,1.0,1.0,0.6925460273311967
HI-VAE_weibull,200,1.0,1.0,1.0,0.6924871112052715
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8523509762041778
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8422623960807357
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8454340171470242
HI-VAE_piecewise,160,1.0,1.0,1.0,0.846815675120831
HI-VAE_piecewise,200,1.0,1.0,1.0,0.848262920655984
Surv-GAN,40,1.0,1.0,1.0,0.871301082043092
Surv-GAN,80,1.0,1.0,1.0,0.8692007069666243
Surv-GAN,120,1.0,1.0,1.0,0.8689979528779962
Surv-GAN,160,1.0,1.0,1.0,0.8695776328796508
Surv-GAN,200,1.0,1.0,1.0,0.8688082413951317
Surv-VAE,40,0.9,1.0,1.0,0.6033700966810198
Surv-VAE,80,0.875,1.0,1.0,0.595842395454634
Surv-VAE,120,0.8833333333333333,1.0,1.0,0.6057693831107864
Surv-VAE,160,0.90625,1.0,1.0,0.6039983455929622
Surv-VAE,200,0.915,1.0,1.0,0.6043694390985936
HI-VAE_weibull_diffusion,40,1.0,1.0,1.0,0.6340089809431219
HI-VAE_weibull_diffusion,80,0.9875,1.0,1.0,0.6245750057247508
HI-VAE_weibull_diffusion,120,0.9916666666666667,1.0,1.0,0.6148993979666302
HI-VAE_weibull_diffusion,160,0.99375,1.0,1.0,0.6124156060744163
HI-VAE_weibull_diffusion,200,0.995,1.0,1.0,0.6166181147434651
HI-VAE_piecewise_diffusion,40,1.0,1.0,1.0,0.7383191510169375
HI-VAE_piecewise_diffusion,80,1.0,1.0,1.0,0.7520777232157212
HI-VAE_piecewise_diffusion,120,1.0,1.0,1.0,0.7522947184239712
HI-VAE_piecewise_diffusion,160,1.0,1.0,1.0,0.7594430514380042
HI-VAE_piecewise_diffusion,200,1.0,1.0,1.0,0.7568982384974808
