Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.975,1.0,1.0,0.6992994651771511
HI-VAE_weibull,80,0.9625,1.0,1.0,0.6802727087726171
HI-VAE_weibull,120,0.9333333333333333,1.0,1.0,0.6814284501996467
HI-VAE_weibull,160,0.94375,1.0,1.0,0.6825825637590757
HI-VAE_weibull,200,0.945,1.0,1.0,0.6831508077753616
HI-VAE_piecewise,40,1.0,0.775,1.0,0.8709615681257912
HI-VAE_piecewise,80,1.0,0.8,1.0,0.8751357393593218
HI-VAE_piecewise,120,1.0,0.725,1.0,0.8602721107330622
HI-VAE_piecewise,160,1.0,0.725,1.0,0.8666276735309706
HI-VAE_piecewise,200,1.0,0.73,1.0,0.8673767898166561
Surv-GAN,40,1.0,1.0,1.0,0.8480571263549772
Surv-GAN,80,1.0,1.0,1.0,0.8409730492769063
Surv-GAN,120,1.0,1.0,1.0,0.841809191863309
Surv-GAN,160,1.0,1.0,1.0,0.8465407434166483
Surv-GAN,200,1.0,1.0,1.0,0.8425290467242926
Surv-VAE,40,0.375,0.0,0.775,0.426903922144632
Surv-VAE,80,0.2875,0.0,0.725,0.4079148418892922
Surv-VAE,120,0.2833333333333333,0.0,0.7583333333333333,0.41094869532394535
Surv-VAE,160,0.29375,0.0,0.7625,0.4156872903331085
Surv-VAE,200,0.31,0.0,0.78,0.4262719524348392
HI-VAE_weibull_diffusion,40,0.9,1.0,1.0,0.6341752544075857
HI-VAE_weibull_diffusion,80,0.8875,1.0,1.0,0.6411594897586732
HI-VAE_weibull_diffusion,120,0.9,1.0,1.0,0.6446252258308968
HI-VAE_weibull_diffusion,160,0.9,1.0,1.0,0.6430490906972436
HI-VAE_weibull_diffusion,200,0.905,1.0,1.0,0.6457324026328911
HI-VAE_piecewise_diffusion,40,1.0,0.85,1.0,0.8892522783365747
HI-VAE_piecewise_diffusion,80,1.0,0.8375,1.0,0.8855127641717407
HI-VAE_piecewise_diffusion,120,1.0,0.8333333333333334,1.0,0.8836434809786595
HI-VAE_piecewise_diffusion,160,1.0,0.8375,1.0,0.8846250865411388
HI-VAE_piecewise_diffusion,200,1.0,0.84,1.0,0.8843296702053334
