J-S distance,KS test,Survival curves distance,Detection XGB,NSND,K-map score,Identifiability score,NNDR,generator
0.010751218462408417,0.9299242424242423,0.021833943312320758,0.6918140492932737,0.12005478585632719,2.0,0.453125,0.8293436179425537,HI-VAE_weibull
0.007930917337407877,0.9446022727272727,0.02566227597028189,0.6660700333830527,0.10361116474871042,2.0,0.421875,0.8199909497874714,HI-VAE_weibull
0.008773181120971514,0.9398674242424242,0.05042991329265709,0.6848675332054833,0.10733119691343224,1.0,0.4791666666666667,0.8211227767557447,HI-VAE_weibull
0.007380781948091364,0.9393939393939393,0.020558406839248484,0.6515732651466724,0.14937119878017804,1.0,0.5,0.82313549208177,HI-VAE_weibull
0.011913406948259892,0.9176136363636362,0.014666232911617914,0.6824632431280631,0.20126624361457138,2.0,0.5104166666666666,0.8208499337246847,HI-VAE_weibull
0.010668959519716787,0.927556818181818,0.034706221332492466,0.645685062859578,0.13362340021611785,2.0,0.4322916666666667,0.8236720976365602,HI-VAE_weibull
0.00895046113593459,0.9398674242424242,0.014696735093149265,0.6303608210810427,0.20011198237157182,2.0,0.4114583333333333,0.8204532862925001,HI-VAE_weibull
0.008166410645989932,0.9374999999999999,0.018878236739167747,0.6747922437673131,0.16572240401056662,1.0,0.4895833333333333,0.828540412525137,HI-VAE_weibull
0.011671338958692408,0.9204545454545454,0.014565754084511445,0.6806484835570707,0.23528253968880955,3.0,0.4635416666666667,0.8208009875150593,HI-VAE_weibull
0.011490758110443174,0.9294507575757577,0.01699164305092832,0.6637793877406065,0.0934715888742841,1.0,0.40625,0.8134400315342162,HI-VAE_weibull
0.008694176746095302,0.9303977272727273,0.015691875175446842,0.6911321826834292,0.3014261098373901,1.0,0.4375,0.8280920527910778,HI-VAE_weibull
0.010020988553434439,0.9289772727272727,0.01488234685593804,0.6280488671070389,0.18081803430150334,3.0,0.5104166666666666,0.8223163703291846,HI-VAE_weibull
0.010235457657574316,0.9228219696969696,0.060653315549484346,0.6829320264223311,0.1645730014663335,1.0,0.40625,0.8165250138893939,HI-VAE_weibull
0.009631425481746262,0.9199810606060606,0.02855152764222806,0.6595141700404857,0.19976597325347975,1.0,0.4427083333333333,0.814589045051739,HI-VAE_weibull
0.009446095854813043,0.9337121212121211,0.018286970828748163,0.6884437815185738,0.23398500751751694,2.0,0.4375,0.8196520297077828,HI-VAE_weibull
0.010106001270591226,0.9341856060606062,0.01352103800014603,0.7482740251438313,0.11125585681982263,2.0,0.4270833333333333,0.8277661282718853,HI-VAE_weibull
0.011431845443820891,0.921875,0.02279914357512195,0.6953015128915406,0.2162609623330607,1.0,0.4479166666666667,0.8172977052974069,HI-VAE_weibull
0.010817914108968462,0.9299242424242423,0.01657908193013608,0.6234569216563676,0.11452138994767537,1.0,0.4895833333333333,0.8104161654744759,HI-VAE_weibull
0.009398792460149637,0.9337121212121212,0.013541891371606019,0.6707933802116628,0.11867192658980984,1.0,0.4895833333333333,0.8245700257841921,HI-VAE_weibull
0.00980799657384582,0.9337121212121212,0.03233667674222569,0.6452411392854606,0.12271118972663086,2.0,0.4375,0.8098446728140722,HI-VAE_weibull
0.010665722709254581,0.9285037878787878,0.021619495443740366,0.6903508771929825,0.13813166179515482,1.0,0.3958333333333333,0.821218314444003,HI-VAE_weibull
