J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.006549951130893573,0.9472064393939393,0.01189579448179007,0.8082478841145834,0.1557504370319089,6.0,HI-VAE_weibull
0.007040331738692549,0.9483901515151515,0.012521093824199393,0.8108927408854166,0.2001272104459441,3.0,HI-VAE_weibull
0.006090508769583099,0.9488636363636364,0.022825268790855193,0.8252970377604166,0.14775702006320915,6.0,HI-VAE_weibull
0.005952477087514476,0.9519412878787878,0.02665323792812903,0.79815673828125,0.12912733780114305,6.0,HI-VAE_weibull
0.005506066811754793,0.9507575757575757,0.009261844351372815,0.82550048828125,0.10704702756360497,5.0,HI-VAE_weibull
0.006890418790102013,0.9448390151515152,0.04267006399449618,0.7900187174479166,0.12442913758547358,6.0,HI-VAE_weibull
0.00649431036916502,0.9507575757575758,0.00822588447057202,0.8213297526041666,0.14070612095378823,5.0,HI-VAE_weibull
0.005470897091589222,0.949810606060606,0.011973867747580993,0.8168131510416666,0.09962959117910726,6.0,HI-VAE_weibull
0.005607054492128735,0.9524147727272727,0.027071353056833895,0.8033650716145834,0.20750645644822238,6.0,HI-VAE_weibull
0.006628203464140881,0.9483901515151515,0.02153624495946389,0.8034871419270834,0.10097727922057571,4.0,HI-VAE_weibull
0.006719188297359533,0.9403409090909091,0.023862630632236023,0.8247273763020834,0.21344199588502652,2.0,HI-VAE_weibull
0.007631623379143793,0.9422348484848485,0.04400456812988445,0.8045450846354166,0.10166917006094955,5.0,HI-VAE_weibull
0.005947918667357359,0.9464962121212122,0.010015919229396977,0.8143107096354166,0.09619051413499242,4.0,HI-VAE_weibull
0.006078084087855628,0.9488636363636364,0.014653179382521976,0.8404337565104166,0.10958223458819644,6.0,HI-VAE_weibull
0.0059575706018163395,0.9460227272727273,0.020481079973023043,0.82000732421875,0.12590551323974605,7.0,HI-VAE_weibull
0.005192599207050857,0.9569128787878789,0.012162477889084559,0.8150431315104166,0.1512439623100293,6.0,HI-VAE_weibull
0.005955778211138759,0.9526515151515152,0.019076124320744816,0.8215535481770834,0.10805104432658148,4.0,HI-VAE_weibull
0.006370049749175818,0.9460227272727273,0.030987633350770163,0.8143310546875,0.10709412594411173,4.0,HI-VAE_weibull
0.006343283139114714,0.9491003787878788,0.03849712484837782,0.8062947591145834,0.15421146274798442,2.0,HI-VAE_weibull
0.005807951079414356,0.948626893939394,0.015611244781377851,0.8072102864583334,0.22778794518415443,5.0,HI-VAE_weibull
0.004568912237826351,0.9569128787878788,0.006991157874835888,0.8309122721354166,0.11916187489104431,5.0,HI-VAE_weibull
0.006017710891457403,0.9493371212121212,0.015804139274740676,0.8169962565104166,0.21661809683907998,5.0,HI-VAE_weibull
0.005844106115912331,0.9493371212121212,0.035131355010816157,0.8311971028645834,0.16804080354278783,1.0,HI-VAE_weibull
0.006226025609387511,0.954308712121212,0.023549470180795614,0.78973388671875,0.1493110654977102,7.0,HI-VAE_weibull
0.0067133820051804485,0.9476799242424243,0.029506506291922113,0.7869669596354166,0.10360680032410392,5.0,HI-VAE_weibull
0.0068756070036024705,0.9472064393939394,0.004210516634680272,0.7978312174479166,0.141005539159519,2.0,HI-VAE_weibull
0.004553137688682336,0.9547821969696969,0.015354528385488881,0.7951253255208334,0.2552569823836552,7.0,HI-VAE_weibull
0.006038090937641216,0.953125,0.015785383408572776,0.8240966796875,0.19049976639501942,4.0,HI-VAE_weibull
0.005925909393921347,0.9524147727272727,0.014050751696222132,0.816650390625,0.1269120843687942,5.0,HI-VAE_weibull
0.007106799430746655,0.9412878787878788,0.028745399234835316,0.8101603190104166,0.093264019160969,3.0,HI-VAE_weibull
0.005877947041892437,0.953125,0.00902609042894352,0.80865478515625,0.08219581900758748,4.0,HI-VAE_weibull
0.005799275801605655,0.9540719696969696,0.016456693946687438,0.7923787434895834,0.21476760916452628,2.0,HI-VAE_weibull
0.0065197129389418925,0.9422348484848485,0.01636862401117322,0.8211263020833334,0.21995045102595467,5.0,HI-VAE_weibull
0.005991282945196367,0.9514678030303031,0.014527446176619824,0.8140869140625,0.21586456247258337,5.0,HI-VAE_weibull
0.006269659824063702,0.9507575757575758,0.010377902511305772,0.82672119140625,0.17276552667351167,6.0,HI-VAE_weibull
0.005816151600676223,0.948626893939394,0.011967572799518952,0.80401611328125,0.17283334101749107,5.0,HI-VAE_weibull
0.006645408217544169,0.941998106060606,0.05133528124144923,0.8368733723958334,0.11402202409293173,3.0,HI-VAE_weibull
0.0061909577169730525,0.9495738636363636,0.030331666882730014,0.8122965494791666,0.18038034159886665,1.0,HI-VAE_weibull
0.007077264747356751,0.9448390151515151,0.0360189514660515,0.8202107747395834,0.1017683100172237,6.0,HI-VAE_weibull
0.005547626520865055,0.9505208333333333,0.007320542550455091,0.80987548828125,0.11985994286847784,5.0,HI-VAE_weibull
0.005967315561851933,0.9519412878787878,0.011521540912208647,0.8239542643229166,0.1401909918747916,7.0,HI-VAE_weibull
0.006480834801983784,0.9462594696969696,0.0064717903014961786,0.8041585286458334,0.15665915168668554,6.0,HI-VAE_weibull
0.005854360373800754,0.953125,0.012287092372169598,0.8348388671875,0.1431902626118072,4.0,HI-VAE_weibull
0.005418274909430604,0.9566761363636364,0.009646294730861161,0.8041788736979166,0.16529505768423758,7.0,HI-VAE_weibull
0.006068368284460172,0.9476799242424242,0.021430528283115157,0.8290812174479166,0.1275070071659292,6.0,HI-VAE_weibull
0.00620790554445527,0.9483901515151515,0.013582413947671445,0.7837931315104166,0.11556739187124827,3.0,HI-VAE_weibull
0.00551548689875307,0.9512310606060606,0.010599372294183885,0.8355305989583334,0.17127218093922503,4.0,HI-VAE_weibull
0.00626608224450506,0.9476799242424243,0.02010874207412415,0.82025146484375,0.13223636960202498,5.0,HI-VAE_weibull
0.006440688125801106,0.9495738636363636,0.022539911245067594,0.7978312174479166,0.16837672346534868,4.0,HI-VAE_weibull
0.005423329966168223,0.9538352272727273,0.008055527109334392,0.8224690755208334,0.09713221425626446,2.0,HI-VAE_weibull
0.005781109918940589,0.9514678030303031,0.008139770562430992,0.8115641276041666,0.21237920254112339,5.0,HI-VAE_weibull
0.005549944951077499,0.9578598484848484,0.008764399183433712,0.8149617513020834,0.15456778423123552,6.0,HI-VAE_weibull
0.007619094649150836,0.9453125,0.015793814254881973,0.8163655598958334,0.12744711585924295,4.0,HI-VAE_weibull
0.005000162956364134,0.953125,0.008179728092983165,0.7975260416666666,0.14900847876200307,6.0,HI-VAE_weibull
0.006927879144292214,0.9424715909090909,0.030989561088833995,0.81671142578125,0.1250615883470498,2.0,HI-VAE_weibull
0.0065236563667267385,0.9505208333333333,0.0172364254123153,0.8031209309895834,0.18524840787163135,5.0,HI-VAE_weibull
0.005598170667480625,0.953125,0.023196803859425245,0.8031005859375,0.16030247517264773,3.0,HI-VAE_weibull
