J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.007636723982950377,0.943181818181818,0.024381283336648966,0.8230387369791666,0.09904138992328045,5.0,HI-VAE_weibull
0.006514642491439148,0.9502840909090909,0.010362040168500074,0.8182576497395834,0.147553650084184,2.0,HI-VAE_weibull
0.00477422455882151,0.9526515151515151,0.00692805529702738,0.8113199869791666,0.15056648095039102,8.0,HI-VAE_weibull
0.005742502997624882,0.9526515151515151,0.008402026567646284,0.7798258463541666,0.2232962908553496,7.0,HI-VAE_weibull
0.006940609049560833,0.9474431818181818,0.023055865236755294,0.7844441731770834,0.18742105404412504,9.0,HI-VAE_weibull
0.006622385827018432,0.9493371212121211,0.00851708940914006,0.81689453125,0.105675871364823,7.0,HI-VAE_weibull
0.0055670811346102194,0.9533617424242423,0.012154741227319738,0.8128662109375,0.15136614983189042,2.0,HI-VAE_weibull
0.005911764778465767,0.9535984848484849,0.01459631966119429,0.8296305338541666,0.23484818891806625,5.0,HI-VAE_weibull
0.007424455513183784,0.9448390151515151,0.016731771047888932,0.8266398111979166,0.12517891749658508,3.0,HI-VAE_weibull
0.005303572594318589,0.9524147727272727,0.006671069472663811,0.8180948893229166,0.11131857872971611,6.0,HI-VAE_weibull
0.005631097075212122,0.9533617424242423,0.008772411531822316,0.8149007161458334,0.14887527844851967,7.0,HI-VAE_weibull
0.0052364323262906335,0.9533617424242425,0.015388893045018942,0.7877197265625,0.19365296324622594,4.0,HI-VAE_weibull
0.005323984794645808,0.9569128787878788,0.019634486362889295,0.79937744140625,0.12598747001346156,3.0,HI-VAE_weibull
0.005464553769016721,0.9543087121212122,0.012553247949843648,0.8048095703125,0.11220528643318328,5.0,HI-VAE_weibull
0.00554257374816068,0.9535984848484849,0.009753590817155773,0.8277384440104166,0.11675865390746469,5.0,HI-VAE_weibull
0.005917816095036885,0.9507575757575758,0.013116973847722615,0.7956949869791666,0.18969313111532574,2.0,HI-VAE_weibull
0.005176380614288959,0.9493371212121212,0.016044688793780088,0.7813517252604166,0.10669431369964573,6.0,HI-VAE_weibull
0.005828338641015915,0.9514678030303029,0.013081733295987228,0.8401285807291666,0.14275313734170048,3.0,HI-VAE_weibull
0.00429782067115255,0.9611742424242425,0.00796245206358125,0.8170166015625,0.12433092473664194,4.0,HI-VAE_weibull
0.005328409822783264,0.9573863636363636,0.01428403575357289,0.8318074544270834,0.2001714416203694,7.0,HI-VAE_weibull
0.005131439957030695,0.9595170454545454,0.0058835261809607135,0.83087158203125,0.1155796095277392,4.0,HI-VAE_weibull
0.006679768127569477,0.9453124999999999,0.014242655376709181,0.8076578776041666,0.09663411625273059,4.0,HI-VAE_weibull
0.004722906111555643,0.9571496212121211,0.007839396468413043,0.81463623046875,0.18707230697548458,5.0,HI-VAE_weibull
0.006597458381351407,0.9481534090909091,0.01561888006201447,0.8433634440104166,0.13245752631141097,7.0,HI-VAE_weibull
0.005960602075480804,0.9526515151515151,0.021038383321348445,0.82220458984375,0.1032917670832163,4.0,HI-VAE_weibull
0.0046968371265018825,0.9588068181818182,0.009575993279876065,0.80401611328125,0.12170587493532432,6.0,HI-VAE_weibull
0.004970471740916165,0.9552556818181817,0.00857139652828755,0.8206583658854166,0.19029175398788076,3.0,HI-VAE_weibull
0.007108866946826544,0.9488636363636366,0.01661383391920305,0.80462646484375,0.15124605111638512,3.0,HI-VAE_weibull
0.0059946789533138955,0.9547821969696969,0.016218083494710874,0.8135986328125,0.217946225250121,4.0,HI-VAE_weibull
0.0052602460896007276,0.9528882575757577,0.00977856762667236,0.8132120768229166,0.11662132362470445,3.0,HI-VAE_weibull
0.0057662920230361105,0.9483901515151516,0.01506146683601466,0.80242919921875,0.12635613062838727,5.0,HI-VAE_weibull
0.0057734185773642135,0.9512310606060606,0.008446428459798108,0.8082478841145834,0.11712089140740878,3.0,HI-VAE_weibull
0.005954335742151329,0.9545454545454547,0.023901217912219573,0.82513427734375,0.19438811887497887,5.0,HI-VAE_weibull
0.004913628182648066,0.9533617424242423,0.0160807863652124,0.8377278645833334,0.09444450478704751,3.0,HI-VAE_weibull
0.0056068595431257905,0.9526515151515152,0.007658789270526832,0.81121826171875,0.09447605728020525,10.0,HI-VAE_weibull
0.006273176321216936,0.948626893939394,0.03352452316145223,0.81097412109375,0.19841700533092754,6.0,HI-VAE_weibull
0.006806895114113084,0.9474431818181818,0.028497403283966747,0.84503173828125,0.1653037110685064,5.0,HI-VAE_weibull
0.005973910118427002,0.9472064393939393,0.012636413686398791,0.8125,0.13780489553550926,5.0,HI-VAE_weibull
0.005061024012139357,0.9573863636363636,0.015817082074569642,0.8264567057291666,0.1260894728947575,5.0,HI-VAE_weibull
0.007448943006308029,0.9401041666666667,0.009972554510421562,0.7847493489583334,0.08743215572986891,1.0,HI-VAE_weibull
0.00727377608980269,0.9479166666666667,0.026465900555042523,0.79815673828125,0.14634370976003006,5.0,HI-VAE_weibull
0.005528860650501305,0.9535984848484849,0.018883008127449644,0.82952880859375,0.1523271030600442,5.0,HI-VAE_weibull
0.0061838863516180155,0.9507575757575758,0.02101779231067465,0.80181884765625,0.18348876996161909,2.0,HI-VAE_weibull
0.005402256497851912,0.953125,0.019643016110723183,0.83184814453125,0.11599203460888143,2.0,HI-VAE_weibull
0.006156211179632568,0.9502840909090909,0.017298137516743244,0.8223063151041666,0.10149413807411069,4.0,HI-VAE_weibull
0.0054797129183117325,0.9535984848484848,0.013499772071585973,0.8049112955729166,0.1453109039173728,7.0,HI-VAE_weibull
0.0063835327745487445,0.9500473484848484,0.015310382123254905,0.7898356119791666,0.1722206694986034,4.0,HI-VAE_weibull
0.006156578879351894,0.9457859848484848,0.01668269445218898,0.8133341471354166,0.16868807696656254,6.0,HI-VAE_weibull
0.006600429203510605,0.9472064393939394,0.01819102338992518,0.7961222330729166,0.13694945561854274,4.0,HI-VAE_weibull
0.006880115803123774,0.9455492424242423,0.015679397006957266,0.8027547200520834,0.13137087178677576,5.0,HI-VAE_weibull
0.005916433533430985,0.9535984848484849,0.012643920259554105,0.83001708984375,0.1882285506152619,5.0,HI-VAE_weibull
0.006124545101365489,0.9526515151515151,0.01706450531860741,0.81829833984375,0.20502599852687187,2.0,HI-VAE_weibull
0.006015493273477193,0.9552556818181818,0.016122554565303742,0.7987467447916666,0.16546599266185394,5.0,HI-VAE_weibull
0.006606771587744444,0.9517045454545454,0.014506655794116793,0.7904256184895834,0.15066171246613136,6.0,HI-VAE_weibull
0.004949340175666477,0.9585700757575757,0.016708783744797798,0.8083699544270834,0.16258001566650812,4.0,HI-VAE_weibull
0.005850062520321425,0.9476799242424242,0.02258646657451966,0.7928466796875,0.20754095520237162,5.0,HI-VAE_weibull
0.0065530371790465634,0.9469696969696969,0.021880389956833543,0.799072265625,0.11060984874339563,1.0,HI-VAE_weibull
