Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8444783161898861
HI-VAE_weibull,80,1.0,1.0,1.0,0.8386356863032605
HI-VAE_weibull,120,0.9916666666666667,1.0,1.0,0.8388891443855157
HI-VAE_weibull,160,0.99375,1.0,1.0,0.842914427226171
HI-VAE_weibull,200,0.995,1.0,1.0,0.8431483149634421
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8755849306698842
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8764689826793388
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8804423018469606
HI-VAE_piecewise,160,1.0,1.0,1.0,0.8777212954930173
HI-VAE_piecewise,200,1.0,1.0,1.0,0.8793280178103794
Surv-GAN,40,0.975,0.525,1.0,0.6979852384848673
Surv-GAN,80,0.9625,0.6,0.9875,0.7082521046100532
Surv-GAN,120,0.975,0.65,0.9916666666666667,0.7182473180872048
Surv-GAN,160,0.975,0.66875,0.99375,0.726713514318908
Surv-GAN,200,0.98,0.665,0.995,0.7240004841415641
Surv-VAE,40,0.425,0.025,0.9,0.458100199750915
Surv-VAE,80,0.4,0.025,0.8875,0.43667562862478115
Surv-VAE,120,0.36666666666666664,0.016666666666666666,0.9,0.4331905067715853
Surv-VAE,160,0.33125,0.0125,0.875,0.42084659780228184
Surv-VAE,200,0.36,0.025,0.885,0.4276905858263653
HI-VAE_weibull_diffusion,40,0.0,0.025,0.15,0.10296094496839234
HI-VAE_weibull_diffusion,80,0.0125,0.05,0.1375,0.11050462487565975
HI-VAE_weibull_diffusion,120,0.008333333333333333,0.041666666666666664,0.10833333333333334,0.1001176789722157
HI-VAE_weibull_diffusion,160,0.0125,0.04375,0.11875,0.10266372585368999
HI-VAE_weibull_diffusion,200,0.01,0.04,0.105,0.09910457000606279
HI-VAE_piecewise_diffusion,40,0.0,0.0,0.0,0.04878617598294671
HI-VAE_piecewise_diffusion,80,0.0,0.0,0.0125,0.05066775557001894
HI-VAE_piecewise_diffusion,120,0.0,0.0,0.008333333333333333,0.048963326014509985
HI-VAE_piecewise_diffusion,160,0.0,0.0,0.00625,0.047210958722492084
HI-VAE_piecewise_diffusion,200,0.0,0.0,0.005,0.0509877007013488
