Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8914005860580035
HI-VAE_weibull,80,1.0,1.0,1.0,0.883521622347627
HI-VAE_weibull,120,1.0,1.0,1.0,0.8788007606843863
HI-VAE_weibull,160,1.0,1.0,1.0,0.8832657489069835
HI-VAE_weibull,200,0.995,0.995,1.0,0.8808136638545847
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8243151458470612
HI-VAE_piecewise,80,0.9875,1.0,1.0,0.829154870284355
HI-VAE_piecewise,120,0.9916666666666667,1.0,1.0,0.8320511420531914
HI-VAE_piecewise,160,0.99375,1.0,1.0,0.8367733754929609
HI-VAE_piecewise,200,0.995,1.0,1.0,0.8432569711267476
Surv-GAN,40,0.125,0.2,0.425,0.2876399339989575
Surv-GAN,80,0.1,0.1625,0.4875,0.2891230813173695
Surv-GAN,120,0.06666666666666667,0.125,0.45,0.2736333139495132
Surv-GAN,160,0.05,0.1125,0.43125,0.27314476081256023
Surv-GAN,200,0.045,0.1,0.4,0.2602267441951125
Surv-VAE,40,0.475,0.575,0.9,0.5291140658454131
Surv-VAE,80,0.525,0.625,0.9,0.5145624731415915
Surv-VAE,120,0.5083333333333333,0.6,0.9,0.5088277371544856
Surv-VAE,160,0.475,0.59375,0.88125,0.5010769151791414
Surv-VAE,200,0.475,0.6,0.895,0.5015091322587499
HI-VAE_weibull_diffusion,40,0.75,0.7,1.0,0.6356975984403045
HI-VAE_weibull_diffusion,80,0.75,0.6875,0.9875,0.6197800452309422
HI-VAE_weibull_diffusion,120,0.7333333333333333,0.6666666666666666,0.9833333333333333,0.6202391140407977
HI-VAE_weibull_diffusion,160,0.75625,0.7,0.9875,0.6297723692811402
HI-VAE_weibull_diffusion,200,0.755,0.7,0.985,0.6248643803258206
HI-VAE_piecewise_diffusion,40,0.0,0.0,0.0,0.00035905854147453875
HI-VAE_piecewise_diffusion,80,0.0,0.0,0.0,0.001878359304195381
HI-VAE_piecewise_diffusion,120,0.0,0.0,0.0,0.0020422000853864853
HI-VAE_piecewise_diffusion,160,0.0,0.0,0.0,0.0025650652220678576
HI-VAE_piecewise_diffusion,200,0.0,0.0,0.0,0.002052052177654286
