Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.95,1.0,0.8501974375607595
HI-VAE_weibull,80,1.0,0.9625,1.0,0.8602393106033983
HI-VAE_weibull,120,1.0,0.95,1.0,0.8444463912224928
HI-VAE_weibull,160,1.0,0.95625,1.0,0.845557302576851
HI-VAE_weibull,200,1.0,0.96,1.0,0.8472373061175094
HI-VAE_piecewise,40,1.0,0.925,1.0,0.8294009187063363
HI-VAE_piecewise,80,1.0,0.9375,1.0,0.8457713290295251
HI-VAE_piecewise,120,1.0,0.9416666666666667,1.0,0.8561121539015905
HI-VAE_piecewise,160,1.0,0.93125,1.0,0.853657839192724
HI-VAE_piecewise,200,1.0,0.94,1.0,0.8561762969126224
Surv-GAN,40,1.0,1.0,1.0,0.8576838677650658
Surv-GAN,80,1.0,1.0,1.0,0.8648711956678488
Surv-GAN,120,1.0,0.9916666666666667,1.0,0.8650072841407244
Surv-GAN,160,1.0,0.99375,1.0,0.8661158085369095
Surv-GAN,200,1.0,0.995,1.0,0.8664170968511509
Surv-VAE,40,0.1,0.325,0.525,0.2916720040377664
Surv-VAE,80,0.1125,0.35,0.55,0.30036633752589903
Surv-VAE,120,0.125,0.35833333333333334,0.575,0.30659426812670715
Surv-VAE,160,0.14375,0.38125,0.58125,0.3145084374901383
Surv-VAE,200,0.155,0.37,0.57,0.31303095179948714
HI-VAE_weibull_diffusion,40,0.0,0.0,0.1,0.08860171420978694
HI-VAE_weibull_diffusion,80,0.0,0.0,0.1375,0.10521961354410095
HI-VAE_weibull_diffusion,120,0.0,0.0,0.13333333333333333,0.11222783212701916
HI-VAE_weibull_diffusion,160,0.0,0.0,0.13125,0.11087995062396065
HI-VAE_weibull_diffusion,200,0.0,0.0,0.11,0.10723702030403306
HI-VAE_piecewise_diffusion,40,0.425,0.075,0.825,0.44610847500852363
HI-VAE_piecewise_diffusion,80,0.45,0.125,0.8625,0.46255800548002296
HI-VAE_piecewise_diffusion,120,0.4666666666666667,0.125,0.8583333333333333,0.4674287981871552
HI-VAE_piecewise_diffusion,160,0.45625,0.1125,0.825,0.45509870708810396
HI-VAE_piecewise_diffusion,200,0.465,0.105,0.835,0.45624250836510305
