Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.975,0.95,1.0,0.7924784386706397
HI-VAE_weibull,80,0.975,0.95,1.0,0.7851273226102202
HI-VAE_weibull,120,0.975,0.95,1.0,0.7971246337742532
HI-VAE_weibull,160,0.975,0.95,1.0,0.7928314818431911
HI-VAE_weibull,200,0.97,0.95,1.0,0.7898087016013885
HI-VAE_piecewise,40,0.975,0.975,1.0,0.8486461786547437
HI-VAE_piecewise,80,0.9875,0.975,1.0,0.8461374336776242
HI-VAE_piecewise,120,0.9916666666666667,0.975,1.0,0.8411812938098283
HI-VAE_piecewise,160,0.99375,0.98125,1.0,0.8412028806475702
HI-VAE_piecewise,200,0.995,0.985,1.0,0.8448501228553217
Surv-GAN,40,0.0,0.0,0.0,0.012871348976245974
Surv-GAN,80,0.0,0.0,0.0,0.00912939606029338
Surv-GAN,120,0.0,0.0,0.0,0.006387323538658351
Surv-GAN,160,0.0,0.0,0.0,0.007667944409370499
Surv-GAN,200,0.0,0.0,0.0,0.0082868378070284
Surv-VAE,40,0.1,0.2,0.425,0.26841132063172035
Surv-VAE,80,0.0875,0.1625,0.4,0.25701494396082747
Surv-VAE,120,0.075,0.15,0.4,0.25583401505663916
Surv-VAE,160,0.075,0.15625,0.4375,0.26523467920036436
Surv-VAE,200,0.06,0.155,0.445,0.2728012831515233
HI-VAE_weibull_diffusion,40,0.525,0.475,0.85,0.5072445280102116
HI-VAE_weibull_diffusion,80,0.4625,0.4375,0.8,0.4849702035529259
HI-VAE_weibull_diffusion,120,0.5083333333333333,0.49166666666666664,0.8,0.4982612476571406
HI-VAE_weibull_diffusion,160,0.45,0.41875,0.75,0.47159148998245304
HI-VAE_weibull_diffusion,200,0.43,0.395,0.765,0.4664064579224801
HI-VAE_piecewise_diffusion,40,0.425,0.325,0.825,0.46799809332168196
HI-VAE_piecewise_diffusion,80,0.3875,0.3125,0.775,0.4508780383752666
HI-VAE_piecewise_diffusion,120,0.38333333333333336,0.325,0.775,0.45154744059967816
HI-VAE_piecewise_diffusion,160,0.375,0.3125,0.7625,0.44649734488356263
HI-VAE_piecewise_diffusion,200,0.385,0.315,0.775,0.4515464827323323
