Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.975,1.0,1.0,0.7991965338273765
HI-VAE_weibull,80,0.9875,1.0,1.0,0.8124645830159212
HI-VAE_weibull,120,0.9916666666666667,1.0,1.0,0.8051294926674561
HI-VAE_weibull,160,0.99375,1.0,1.0,0.8048395011146716
HI-VAE_weibull,200,0.995,0.995,1.0,0.8031219453366757
HI-VAE_piecewise,40,1.0,0.925,1.0,0.9066454036021477
HI-VAE_piecewise,80,1.0,0.9,1.0,0.8938837532912987
HI-VAE_piecewise,120,1.0,0.925,1.0,0.8886060856387907
HI-VAE_piecewise,160,1.0,0.93125,1.0,0.8911440549680221
HI-VAE_piecewise,200,1.0,0.935,1.0,0.8895964277556208
Surv-GAN,40,1.0,1.0,1.0,0.9530494277549699
Surv-GAN,80,1.0,1.0,1.0,0.9526993734218557
Surv-GAN,120,1.0,1.0,1.0,0.9522123545875572
Surv-GAN,160,1.0,1.0,1.0,0.9513634849794915
Surv-GAN,200,1.0,1.0,1.0,0.952095465662226
Surv-VAE,40,1.0,0.875,1.0,0.8688293618138928
Surv-VAE,80,1.0,0.925,1.0,0.8762601144388704
Surv-VAE,120,1.0,0.9,1.0,0.8711963907291383
Surv-VAE,160,1.0,0.89375,1.0,0.8706381975198413
Surv-VAE,200,0.995,0.905,1.0,0.8730138894830246
HI-VAE_weibull_prior,40,1.0,0.825,1.0,0.8777190194366448
HI-VAE_weibull_prior,80,1.0,0.825,1.0,0.8763490836447664
HI-VAE_weibull_prior,120,1.0,0.8166666666666667,1.0,0.8754023359209414
HI-VAE_weibull_prior,160,1.0,0.8,1.0,0.8743288044968793
HI-VAE_weibull_prior,200,1.0,0.765,1.0,0.8671582014621653
HI-VAE_piecewise_prior,40,1.0,0.975,1.0,0.8789476071233594
HI-VAE_piecewise_prior,80,1.0,0.975,1.0,0.8801459463417741
HI-VAE_piecewise_prior,120,1.0,0.9833333333333333,1.0,0.8800984127415391
HI-VAE_piecewise_prior,160,1.0,0.96875,1.0,0.8731976335380173
HI-VAE_piecewise_prior,200,1.0,0.975,1.0,0.877272057172343
