Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.9,0.125,1.0,0.6722365177193604
HI-VAE_weibull,80,0.8625,0.1,1.0,0.6567426932224234
HI-VAE_weibull,120,0.825,0.10833333333333334,1.0,0.646629198202478
HI-VAE_weibull,160,0.8375,0.13125,1.0,0.6545513832883592
HI-VAE_weibull,200,0.86,0.13,1.0,0.6620984947173532
HI-VAE_piecewise,40,0.775,0.125,1.0,0.6077504389187642
HI-VAE_piecewise,80,0.85,0.125,1.0,0.6369800643543881
HI-VAE_piecewise,120,0.8416666666666667,0.08333333333333333,1.0,0.618294630026234
HI-VAE_piecewise,160,0.825,0.0875,1.0,0.6132146701957422
HI-VAE_piecewise,200,0.83,0.09,1.0,0.6186850911284136
Surv-GAN,40,0.625,1.0,1.0,0.5419370622528293
Surv-GAN,80,0.6625,1.0,0.95,0.5358986141810348
Surv-GAN,120,0.65,1.0,0.95,0.528127451549034
Surv-GAN,160,0.65,1.0,0.9625,0.5310021215411832
Surv-GAN,200,0.65,1.0,0.96,0.5262161377021309
Surv-VAE,40,1.0,0.65,1.0,0.8435356278820407
Surv-VAE,80,1.0,0.5625,1.0,0.8437168267830553
Surv-VAE,120,1.0,0.5583333333333333,1.0,0.8380834780446342
Surv-VAE,160,1.0,0.54375,1.0,0.841289644158581
Surv-VAE,200,1.0,0.53,1.0,0.8416955012196164
HI-VAE_weibull_prior,40,1.0,0.525,1.0,0.8307460121203288
HI-VAE_weibull_prior,80,0.975,0.475,0.9875,0.8131699478513619
HI-VAE_weibull_prior,120,0.9833333333333333,0.44166666666666665,0.9916666666666667,0.8033345704499357
HI-VAE_weibull_prior,160,0.98125,0.44375,0.99375,0.7988991227446285
HI-VAE_weibull_prior,200,0.98,0.425,0.995,0.7992112996030726
HI-VAE_piecewise_prior,40,0.275,0.0,0.625,0.32642153559744574
HI-VAE_piecewise_prior,80,0.1875,0.0,0.475,0.2880925196427217
HI-VAE_piecewise_prior,120,0.16666666666666666,0.0,0.5583333333333333,0.30939541828858247
HI-VAE_piecewise_prior,160,0.16875,0.0,0.5875,0.3153705595730001
HI-VAE_piecewise_prior,200,0.17,0.0,0.595,0.3201903626361416
