midpoints,errors,label,colors
-0.11841479676860019,0.1358474212213993,Init,red
0.11598844477622076,0.1394463871780029,HI-VAE_weibull 1,green
0.03322681153482671,0.1379033965283437,HI-VAE_weibull 2,green
-0.12202026754851346,0.1370698033045331,HI-VAE_weibull 3,green
-0.015304541123158606,0.13835370699021815,HI-VAE_weibull 4,green
-0.08548761140605907,0.13711303256234514,HI-VAE_weibull 5,green
-0.04914285230378431,0.13737661674452098,HI-VAE_weibull 6,green
-0.06835565576684241,0.13780566701498,HI-VAE_weibull 7,green
-0.010546669888178928,0.13816254539883702,HI-VAE_weibull 8,green
-0.022790047957053867,0.13867061937498884,HI-VAE_weibull 9,green
-0.09587601405947879,0.13676631185392987,HI-VAE_weibull 10,green
-0.03052058544887218,0.13666462073391006,HI-VAE_piecewise 1,blue
0.004425635444201326,0.13660142325393715,HI-VAE_piecewise 2,blue
-0.08888264292433518,0.1356535053081121,HI-VAE_piecewise 3,blue
-0.047368268544533916,0.13500877341904993,HI-VAE_piecewise 4,blue
0.018248264772287637,0.13627069881262668,HI-VAE_piecewise 5,blue
0.015246161277316504,0.1367555353059607,HI-VAE_piecewise 6,blue
-0.04757201327494889,0.13561564340666418,HI-VAE_piecewise 7,blue
-0.017208632691930965,0.13672913945582385,HI-VAE_piecewise 8,blue
-0.1324549670083383,0.1354877194545418,HI-VAE_piecewise 9,blue
0.002666841126118341,0.1362538038551404,HI-VAE_piecewise 10,blue
-0.21674716523218565,0.13763109802227083,Surv-GAN 1,orange
-0.18915692632184025,0.13754246217504143,Surv-GAN 2,orange
-0.15028402177364847,0.13728587561797873,Surv-GAN 3,orange
-0.14157325718084168,0.13768547929289887,Surv-GAN 4,orange
-0.16678131669526064,0.13790848172118536,Surv-GAN 5,orange
-0.22746446923284513,0.13797542498928922,Surv-GAN 6,orange
-0.1374339940374267,0.13676646341244855,Surv-GAN 7,orange
-0.1527463172946311,0.1374657494177546,Surv-GAN 8,orange
-0.15914968916503616,0.1375071241644439,Surv-GAN 9,orange
-0.164276397052176,0.13799337852580684,Surv-GAN 10,orange
-0.18997287210896724,0.15932394649236076,Surv-VAE 1,cyan
-0.17191809313504583,0.16170128206715936,Surv-VAE 2,cyan
-0.0931300853362513,0.1620797233026053,Surv-VAE 3,cyan
-0.21206552148078012,0.15980485404997585,Surv-VAE 4,cyan
-0.15164909700337786,0.16036108108781433,Surv-VAE 5,cyan
-0.11388639554743407,0.15715963410542472,Surv-VAE 6,cyan
-0.2688361559441622,0.1566412390423635,Surv-VAE 7,cyan
-0.13547555320521854,0.15856579813760896,Surv-VAE 8,cyan
-0.16051901716049172,0.15911873734873871,Surv-VAE 9,cyan
-0.0908384469399566,0.16275077428211757,Surv-VAE 10,cyan
-0.03180968690056296,0.13671701782738252,HI-VAE_weibull_prior 1,magenta
-0.01926444294002705,0.13574705368308682,HI-VAE_weibull_prior 2,magenta
-0.07386307500718081,0.13588990435539394,HI-VAE_weibull_prior 3,magenta
-0.14840739260198343,0.13704716031543684,HI-VAE_weibull_prior 4,magenta
-0.03836393854102771,0.1364813724485722,HI-VAE_weibull_prior 5,magenta
0.0010516301411474804,0.1378515809860492,HI-VAE_weibull_prior 6,magenta
-0.05313491673912868,0.1364786773670874,HI-VAE_weibull_prior 7,magenta
-0.06840258898412396,0.13729181822382172,HI-VAE_weibull_prior 8,magenta
-0.10054423734967222,0.13514113057071914,HI-VAE_weibull_prior 9,magenta
-0.02858194922798437,0.136665562930017,HI-VAE_weibull_prior 10,magenta
-0.10776468192776709,0.1358200544169748,HI-VAE_piecewise_prior 1,grey
-0.05134171328730855,0.13514931278345288,HI-VAE_piecewise_prior 2,grey
-0.01898593850625971,0.13660177634865298,HI-VAE_piecewise_prior 3,grey
-0.11396642924605443,0.13595245084439533,HI-VAE_piecewise_prior 4,grey
-0.08299153699253278,0.13572517587914187,HI-VAE_piecewise_prior 5,grey
-0.14241079073725235,0.13570921530805394,HI-VAE_piecewise_prior 6,grey
-0.030214275268404707,0.13666516236517168,HI-VAE_piecewise_prior 7,grey
-0.11257674447205851,0.13630540154557202,HI-VAE_piecewise_prior 8,grey
-0.15980884597338985,0.13599571072829353,HI-VAE_piecewise_prior 9,grey
-0.05125737709415268,0.13613626329304493,HI-VAE_piecewise_prior 10,grey
