J-S distance,KS test,Survival curves distance,Detection XGB,NSND,K-map score,Identifiability score,NNDR,generator
0.00601511938965064,0.9601910828025478,0.06718694338458164,0.5659144120707597,0.30798728701989264,1.0,0.40764331210191085,0.7567935207501638,HI-VAE_weibull
0.006046787933921439,0.9607218683651805,0.029482397821442224,0.531035379812695,0.20828995339164996,3.0,0.445859872611465,0.7272891882083712,HI-VAE_weibull
0.005434065362954159,0.9585987261146497,0.038615677497739684,0.5492455775234132,0.21771209140332276,4.0,0.42038216560509556,0.742752917855719,HI-VAE_weibull
0.0055461350211908345,0.9639065817409768,0.03602690240097515,0.5674167533818939,0.3301131305098302,2.0,0.45222929936305734,0.7532558675489925,HI-VAE_weibull
0.005530949998550502,0.9644373673036095,0.049967488236514764,0.508012486992716,0.15796505138847816,1.0,0.445859872611465,0.7577507944260379,HI-VAE_weibull
0.008287914941311286,0.9532908704883227,0.04613244701451431,0.5387617065556711,0.24654224356180204,2.0,0.45222929936305734,0.7431203731475452,HI-VAE_weibull
0.004325057590586099,0.9713375796178344,0.03882070470074969,0.5801899063475546,0.1972754063607865,1.0,0.4394904458598726,0.748240527088877,HI-VAE_weibull
0.006252814594209451,0.9612526539278132,0.05965018702816862,0.5970766129032258,0.2187397611367448,2.0,0.4713375796178344,0.7387941985580184,HI-VAE_weibull
0.004721795522049353,0.9734607218683652,0.02671370970005959,0.45537200832466185,0.27129162193473133,2.0,0.5222929936305732,0.7489744581010137,HI-VAE_weibull
0.005904685043266207,0.9554140127388536,0.042517718059795775,0.5551183662851197,0.20638983018235751,1.0,0.46496815286624205,0.7573776935893376,HI-VAE_weibull
0.0058400290308044086,0.9660297239915074,0.04126311965711134,0.5229838709677419,0.26022411146853175,2.0,0.4840764331210191,0.7381073340342127,HI-VAE_weibull
0.005972573312340648,0.964968152866242,0.03751480368139849,0.5802744536940686,0.3082126042478128,5.0,0.535031847133758,0.7691041888111739,HI-VAE_weibull
0.005491690341086545,0.968683651804671,0.03876873983890767,0.4660184703433924,0.23833626702328323,2.0,0.4840764331210191,0.74457478698915,HI-VAE_weibull
0.005978674707506401,0.9665605095541401,0.05619905257894782,0.49671566077003126,0.25164476937949987,3.0,0.4140127388535032,0.7584907933806577,HI-VAE_weibull
0.006244059981158112,0.9654989384288747,0.02037612634631728,0.5561329344432883,0.24441205814177924,3.0,0.4840764331210191,0.7860888720655098,HI-VAE_weibull
0.004609705288068409,0.9676220806794055,0.03773665559381117,0.5016259105098855,0.3148632349854908,1.0,0.4968152866242038,0.7263657990615855,HI-VAE_weibull
0.0057982958263118846,0.9649681528662422,0.030564035829052445,0.4748569198751301,0.2079291474573456,1.0,0.5031847133757962,0.7517793783249918,HI-VAE_weibull
0.006416108242337129,0.9575371549893842,0.036575265776103136,0.5184963579604578,0.21585977116011396,1.0,0.5222929936305732,0.726044368233825,HI-VAE_weibull
0.004744181157531614,0.9681528662420383,0.04467860543324102,0.511121227887617,0.22958216825709282,3.0,0.42038216560509556,0.7296257836472143,HI-VAE_weibull
0.00626658421296408,0.9585987261146497,0.03984545367919474,0.5275884495317378,0.2444769353061559,3.0,0.4585987261146497,0.7356202066424173,HI-VAE_weibull
0.00750299155163105,0.9538216560509554,0.04069832432432206,0.5590075442247658,0.16617958834845895,2.0,0.4394904458598726,0.7563523846806592,HI-VAE_weibull
0.0048843903797273465,0.9665605095541402,0.029280768047526183,0.5457466181061394,0.356823601436017,3.0,0.4394904458598726,0.7555000447364163,HI-VAE_weibull
0.006436348133943321,0.9585987261146497,0.047205210003431065,0.4838026795005203,0.2170400582819456,3.0,0.5159235668789809,0.7665188238214374,HI-VAE_weibull
0.00589944068067014,0.9660297239915074,0.041674760205159485,0.48538631633714885,0.3185155759959792,2.0,0.4840764331210191,0.727907603585677,HI-VAE_weibull
0.006363570288050632,0.9644373673036094,0.0625899193137784,0.49279396462018726,0.29630240484057674,3.0,0.5095541401273885,0.7664476972305658,HI-VAE_weibull
0.0037371045046986234,0.9713375796178344,0.03221961720538054,0.5173647242455776,0.22610888497933151,1.0,0.47770700636942676,0.7458618099495017,HI-VAE_weibull
0.005095532078763402,0.9585987261146497,0.037837354059945996,0.5034989594172737,0.28097607693093946,3.0,0.4968152866242038,0.7494960951084204,HI-VAE_weibull
0.005427029105349589,0.9660297239915074,0.033736228038425735,0.5279656607700312,0.2665560745242438,1.0,0.5286624203821656,0.7806849593413107,HI-VAE_weibull
0.005153868516801033,0.9633757961783439,0.03934153730563545,0.48937304890738814,0.2601650157933833,4.0,0.47770700636942676,0.7314237880690828,HI-VAE_weibull
0.006385988598209012,0.9570063694267515,0.028931941169834562,0.5054337929240375,0.2147654242853996,2.0,0.4394904458598726,0.7498861706802553,HI-VAE_weibull
0.006202220274799952,0.9628450106157113,0.03852916894647662,0.5570434443288242,0.14838139645185033,1.0,0.4713375796178344,0.7772644715102275,HI-VAE_weibull
0.00631114835463727,0.9585987261146496,0.03842955986260139,0.512656087408949,0.17197339977329493,4.0,0.535031847133758,0.7500248294834863,HI-VAE_weibull
0.0044420320568728765,0.9692144373673036,0.02430613783729538,0.4839099895941727,0.1977310708515986,2.0,0.46496815286624205,0.7409801046749233,HI-VAE_weibull
0.007091126279903759,0.9570063694267517,0.029021568425599643,0.5917468782518209,0.21657048243221708,1.0,0.4585987261146497,0.765278267474134,HI-VAE_weibull
0.0057241277919687665,0.9612526539278132,0.0496288746470634,0.5358545785639958,0.25335651641736784,2.0,0.4585987261146497,0.7333240044590215,HI-VAE_weibull
0.008530868363509202,0.9463906581740976,0.05464634163224041,0.6116415192507805,0.2903678140182392,3.0,0.4267515923566879,0.7768987381368435,HI-VAE_weibull
0.005916407139222288,0.9628450106157113,0.03140677517298665,0.4937890218522373,0.21699053811078334,1.0,0.43312101910828027,0.7533109846267004,HI-VAE_weibull
0.005851705753460196,0.9670912951167727,0.02929492022866788,0.556165452653486,0.24707670134869875,1.0,0.4968152866242038,0.7467957748279817,HI-VAE_weibull
0.006721709550289115,0.9570063694267517,0.030927520230025478,0.5094237773152965,0.20697768568059002,1.0,0.47770700636942676,0.7676054330534031,HI-VAE_weibull
0.004168647922351188,0.9708067940552016,0.034957132867699796,0.43937304890738815,0.26267558353716347,2.0,0.5031847133757962,0.755690048631837,HI-VAE_weibull
0.006667260296444043,0.956475583864119,0.03084746577347353,0.46942637877211235,0.2068451479561165,1.0,0.49044585987261147,0.7421089173430357,HI-VAE_weibull
0.005614739512422258,0.9612526539278132,0.048633398553280714,0.5332271071800208,0.2701048524608727,3.0,0.39490445859872614,0.7473618881455654,HI-VAE_weibull
0.006565346216934025,0.9623142250530786,0.06218733158474215,0.5486342351716962,0.22569762952561534,1.0,0.45222929936305734,0.7585896552246866,HI-VAE_weibull
0.006129759418986718,0.9596602972399152,0.029499824984795767,0.5234196149843913,0.17739801775885566,1.0,0.46496815286624205,0.7368818862977443,HI-VAE_weibull
0.005209923254190355,0.9612526539278131,0.04468735345266879,0.5216701352757545,0.27175757276688783,2.0,0.5159235668789809,0.7519287950153052,HI-VAE_weibull
0.008392517978893921,0.9559447983014863,0.03583870632296109,0.5792989073881374,0.3709694571409901,1.0,0.4840764331210191,0.7492198249467681,HI-VAE_weibull
0.009076507258442649,0.9463906581740978,0.04008621601210152,0.5165127471383975,0.22132000816129407,1.0,0.5095541401273885,0.7616513004413218,HI-VAE_weibull
0.00843143838686007,0.9532908704883227,0.033170597715479845,0.5953629032258064,0.25388389950404544,3.0,0.46496815286624205,0.7743602454371665,HI-VAE_weibull
0.005170468381419488,0.9676220806794055,0.05532113432781134,0.5368691467221645,0.27725798539834967,3.0,0.445859872611465,0.7586859601455099,HI-VAE_weibull
0.0073795304355060015,0.9607218683651806,0.03215607763282102,0.5626755983350676,0.20143656112247862,2.0,0.45222929936305734,0.7450595734054364,HI-VAE_weibull
0.006084881200297821,0.9644373673036094,0.0494445220245166,0.5161225286160249,0.2689877333672657,4.0,0.46496815286624205,0.7582266467915585,HI-VAE_weibull
0.0069481257947134716,0.9559447983014863,0.04039169420363847,0.5083181581685744,0.2646086441831112,3.0,0.49044585987261147,0.7617080666334228,HI-VAE_weibull
0.00746192574344337,0.9570063694267517,0.037517967609750534,0.5801313735691986,0.3653731722107405,2.0,0.4585987261146497,0.7506217774860747,HI-VAE_weibull
0.0070261100575188,0.9607218683651805,0.04834344916437345,0.501775494276795,0.2174879119258958,4.0,0.47770700636942676,0.7537094346430412,HI-VAE_weibull
0.007733053712071729,0.956475583864119,0.02329250692609188,0.550767429760666,0.27396916393981263,3.0,0.4840764331210191,0.7160390726303287,HI-VAE_weibull
0.008004003948109168,0.9522292993630574,0.057774832711548915,0.5739594172736733,0.25061441439644416,3.0,0.4968152866242038,0.7385869222941851,HI-VAE_weibull
0.007436607198338676,0.9585987261146497,0.031783416575446144,0.47819328824141516,0.33139907852410144,1.0,0.4585987261146497,0.7642708706227073,HI-VAE_weibull
0.004977510036223989,0.9692144373673036,0.03902755159043007,0.4118561394380853,0.29903370947214314,1.0,0.4840764331210191,0.7332367407103322,HI-VAE_weibull
0.005239517032072486,0.9623142250530785,0.04531901615292982,0.5029689125910509,0.23957042848731608,2.0,0.4140127388535032,0.7580485128958865,HI-VAE_weibull
0.00553469678605971,0.9639065817409768,0.03921634447700884,0.6158883975026015,0.2312616606781029,1.0,0.445859872611465,0.7427243449957918,HI-VAE_weibull
0.005460858731326152,0.9639065817409765,0.02966592449840887,0.48098985431841834,0.24586004210143636,2.0,0.4585987261146497,0.7583771609583179,HI-VAE_weibull
0.005549479579830731,0.9575371549893843,0.024830036101805657,0.5140608740894901,0.24938012439284166,1.0,0.4585987261146497,0.7545743397754737,HI-VAE_weibull
