Generator,log p_value
HI-VAE_weibull,0.19989249170242535
HI-VAE_weibull,0.27134194953269136
HI-VAE_weibull,0.18482566648539248
HI-VAE_weibull,0.2825340043148578
HI-VAE_weibull,1.2343068535747637
HI-VAE_weibull,0.2195738504997796
HI-VAE_weibull,0.3062258412955334
HI-VAE_weibull,0.05608360076021939
HI-VAE_weibull,0.6083326670582996
HI-VAE_weibull,0.8990795069307395
HI-VAE_weibull,0.3194600179694826
HI-VAE_weibull,0.1650418479727237
HI-VAE_weibull,0.33962149926797536
HI-VAE_weibull,0.09883658509048233
HI-VAE_weibull,0.3874092940559645
HI-VAE_weibull,0.21247710435831707
HI-VAE_weibull,0.7575076210914061
HI-VAE_weibull,0.24049046865158935
HI-VAE_weibull,0.16095514433975308
HI-VAE_weibull,0.18776377939241548
HI-VAE_weibull,0.5159137817313022
HI-VAE_weibull,0.10426278689987306
HI-VAE_weibull,0.22276096982915433
HI-VAE_weibull,0.5946377347373188
HI-VAE_weibull,0.428172220434681
HI-VAE_weibull,0.06956386736152763
HI-VAE_weibull,0.3712052210174213
HI-VAE_weibull,0.27338093643057304
HI-VAE_weibull,0.06273296782937184
HI-VAE_weibull,0.512736030488026
HI-VAE_weibull,0.16361524947187464
HI-VAE_weibull,0.5443923655640085
HI-VAE_weibull,0.5252148178694388
HI-VAE_weibull,0.09267133701578162
HI-VAE_weibull,0.04715423033382224
HI-VAE_weibull,0.718457030061117
HI-VAE_weibull,0.32292618332804285
HI-VAE_weibull,0.26064720539736225
HI-VAE_weibull,0.20876611654202298
HI-VAE_weibull,1.0356452864510712
HI-VAE_weibull,0.6315436549792306
HI-VAE_weibull,0.18277353324078874
HI-VAE_weibull,1.0349965338460745
HI-VAE_weibull,0.19444004993658376
HI-VAE_weibull,1.2650150176027306
HI-VAE_weibull,0.2519701693162503
HI-VAE_weibull,0.07683169417526599
HI-VAE_weibull,0.7089106494105734
HI-VAE_weibull,0.09947512476106739
HI-VAE_weibull,0.2970037624747112
HI-VAE_weibull,0.7324615474298489
HI-VAE_weibull,0.8028953134616472
HI-VAE_weibull,1.3487011006279543
HI-VAE_weibull,0.06365166131697073
HI-VAE_weibull,0.3664519103277005
HI-VAE_weibull,0.3472500041109405
HI-VAE_weibull,0.43325766478089006
HI-VAE_weibull,1.4270611187540496
HI-VAE_weibull,0.12795029733837682
HI-VAE_weibull,0.22465132162914406
HI-VAE_weibull,0.16518327353068793
HI-VAE_weibull,0.2732503427615655
HI-VAE_weibull,0.3910871626905679
HI-VAE_weibull,0.13110953334928432
HI-VAE_weibull,0.06816013205522882
HI-VAE_weibull,0.23398067594657854
HI-VAE_weibull,0.1657873554641272
HI-VAE_weibull,0.5380026289786571
HI-VAE_weibull,0.02038313025863559
HI-VAE_weibull,0.027361652919153653
HI-VAE_weibull,0.3059833312226851
HI-VAE_weibull,0.4748680735174736
HI-VAE_weibull,0.08066647450559265
HI-VAE_weibull,0.03242232041374439
HI-VAE_weibull,0.23434104727355046
HI-VAE_weibull,0.4127653520793946
HI-VAE_weibull,0.5326000984601682
HI-VAE_weibull,0.20135878184401346
HI-VAE_weibull,0.18118605457237322
HI-VAE_weibull,0.3810257325760263
HI-VAE_weibull,0.9167301696058479
HI-VAE_weibull,0.8928929467009182
HI-VAE_weibull,0.20387470601241156
HI-VAE_weibull,0.1880264678651812
HI-VAE_weibull,0.37217981651916365
HI-VAE_weibull,0.031053787141294628
HI-VAE_weibull,0.9248104861283933
HI-VAE_weibull,0.2711072975639925
HI-VAE_weibull,0.9099403373334155
HI-VAE_weibull,0.05487367257984696
HI-VAE_weibull,0.0992650671609744
HI-VAE_weibull,0.06995797326684648
HI-VAE_weibull,0.2624637153357581
HI-VAE_weibull,0.9527016198574099
HI-VAE_weibull,1.3117506604180698
HI-VAE_weibull,0.05613540494765424
HI-VAE_weibull,0.042246189343376685
HI-VAE_weibull,0.29403568794530593
HI-VAE_weibull,0.38034769090800197
HI-VAE_weibull,1.4537537208678888
HI-VAE_weibull,0.11934330545979707
HI-VAE_weibull,0.11824231911777516
HI-VAE_weibull,0.16553745843584125
HI-VAE_weibull,0.382572888486598
HI-VAE_weibull,0.4398842866156346
HI-VAE_weibull,0.028731649805098066
HI-VAE_weibull,0.7420943745240405
HI-VAE_weibull,0.1183335961349307
HI-VAE_weibull,0.20863822948867286
HI-VAE_weibull,0.4048774443739415
HI-VAE_weibull,0.5878096042329024
HI-VAE_weibull,0.10111511591273249
HI-VAE_weibull,0.04298877586028925
HI-VAE_weibull,0.2092041284134823
HI-VAE_weibull,0.769302405096868
HI-VAE_weibull,0.18506617252930754
HI-VAE_weibull,0.08815225246103116
HI-VAE_weibull,0.2989768214707031
HI-VAE_weibull,0.7710775087731074
HI-VAE_weibull,0.45017181841139137
HI-VAE_weibull,0.597803911633658
HI-VAE_weibull,0.2421529147598006
HI-VAE_weibull,0.45450749047573613
HI-VAE_weibull,0.7697849293715822
HI-VAE_weibull,0.4739224483745844
HI-VAE_weibull,0.6888719507780541
HI-VAE_weibull,0.7636865680884576
HI-VAE_weibull,0.08517096713938849
HI-VAE_weibull,0.17589800218003318
HI-VAE_weibull,0.1548707567441749
HI-VAE_weibull,0.3489873972049383
HI-VAE_weibull,1.5877765099068357
HI-VAE_weibull,0.0652761289729241
HI-VAE_weibull,1.4569933065179577
HI-VAE_weibull,0.22750820042616615
HI-VAE_weibull,0.4612972574999443
HI-VAE_weibull,0.3169140332312352
HI-VAE_weibull,0.08789166130010397
HI-VAE_weibull,0.16213586760185889
HI-VAE_weibull,0.07855623477494109
HI-VAE_weibull,0.6955655498439168
HI-VAE_weibull,0.5865578094214562
HI-VAE_weibull,0.046676712839149696
HI-VAE_weibull,0.2606181328988101
HI-VAE_weibull,0.847872926168165
HI-VAE_weibull,0.4305144652909795
HI-VAE_weibull,0.4671850815662597
HI-VAE_weibull,0.6108776488032848
HI-VAE_weibull,0.1302276729806119
HI-VAE_weibull,0.34259960595666555
HI-VAE_weibull,0.9069701062081266
HI-VAE_weibull,0.7142993461952584
