Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.95,0.95,1.0,0.8064762812335827
HI-VAE_weibull,80,0.9375,0.9125,1.0,0.8070325990229653
HI-VAE_weibull,120,0.9583333333333334,0.9416666666666667,1.0,0.8201757608825297
HI-VAE_weibull,160,0.9625,0.93125,1.0,0.8115713507640058
HI-VAE_weibull,200,0.97,0.94,1.0,0.8126556608616319
HI-VAE_piecewise,40,0.975,0.975,1.0,0.8435299405317439
HI-VAE_piecewise,80,0.975,0.975,1.0,0.8376257346836283
HI-VAE_piecewise,120,0.9833333333333333,0.9833333333333333,1.0,0.8399072202744474
HI-VAE_piecewise,160,0.9875,0.9875,1.0,0.8400373606344779
HI-VAE_piecewise,200,0.99,0.99,1.0,0.8365581122567124
Surv-GAN,40,0.0,0.0,0.0,0.004314291551921939
Surv-GAN,80,0.0,0.0,0.0,0.002187778991730457
Surv-GAN,120,0.0,0.0,0.0,0.0014597391141222937
Surv-GAN,160,0.0,0.0,0.0,0.0023474179924809504
Surv-GAN,200,0.0,0.0,0.0,0.0018779343939847603
Surv-VAE,40,0.0,0.0,0.225,0.16991109164642723
Surv-VAE,80,0.0,0.0125,0.1875,0.16337837646482295
Surv-VAE,120,0.008333333333333333,0.025,0.16666666666666666,0.16160674695167274
Surv-VAE,160,0.01875,0.03125,0.15,0.16349016016041687
Surv-VAE,200,0.025,0.045,0.16,0.1624884348119613
HI-VAE_weibull_diffusion,40,1.0,1.0,1.0,0.8575401846918991
HI-VAE_weibull_diffusion,80,1.0,1.0,1.0,0.8509740861293894
HI-VAE_weibull_diffusion,120,0.9916666666666667,0.9916666666666667,1.0,0.850766110663516
HI-VAE_weibull_diffusion,160,0.9875,0.9875,1.0,0.8398117655311925
HI-VAE_weibull_diffusion,200,0.985,0.985,1.0,0.8325104301199754
HI-VAE_piecewise_diffusion,40,1.0,1.0,1.0,0.8759603696633256
HI-VAE_piecewise_diffusion,80,0.9875,1.0,1.0,0.8350930820837906
HI-VAE_piecewise_diffusion,120,0.9833333333333333,0.9916666666666667,1.0,0.8444563597571014
HI-VAE_piecewise_diffusion,160,0.98125,0.9875,1.0,0.8469791105852817
HI-VAE_piecewise_diffusion,200,0.975,0.99,1.0,0.8442495791665847
