Generator,log p_value
HI-VAE_weibull,0.03249848758259821
HI-VAE_weibull,0.004059177400045043
HI-VAE_weibull,0.13997265572047587
HI-VAE_weibull,0.19716248233259512
HI-VAE_weibull,0.42476771146288117
HI-VAE_weibull,0.3578132389709935
HI-VAE_weibull,0.5242939857915423
HI-VAE_weibull,0.978002036272499
HI-VAE_weibull,0.6692970521442116
HI-VAE_weibull,0.3855215000690876
HI-VAE_weibull,0.24541577698297642
HI-VAE_weibull,0.1697070122205818
HI-VAE_weibull,0.1824273854680999
HI-VAE_weibull,0.7869886680616567
HI-VAE_weibull,0.23701425961247571
HI-VAE_weibull,0.15273013448654238
HI-VAE_weibull,0.023128412632363548
HI-VAE_weibull,0.009333953864910366
HI-VAE_weibull,0.344981779075253
HI-VAE_weibull,0.1950068521246952
HI-VAE_weibull,0.851053613766698
HI-VAE_weibull,0.02979279858196882
HI-VAE_weibull,0.26607689318368494
HI-VAE_weibull,0.41301551259477404
HI-VAE_weibull,0.46256079474864586
HI-VAE_weibull,0.19314357256605885
HI-VAE_weibull,0.14719593869610262
HI-VAE_weibull,0.3711513880005713
HI-VAE_weibull,0.03264300098771786
HI-VAE_weibull,0.04314896478180348
HI-VAE_weibull,0.20807260538567562
HI-VAE_weibull,0.4453561816287803
HI-VAE_weibull,0.6293008977392947
HI-VAE_weibull,0.00012822457750393535
HI-VAE_weibull,0.7028236347583391
HI-VAE_weibull,0.9556850538237588
HI-VAE_weibull,0.0539384310652295
HI-VAE_weibull,0.08809542485088202
HI-VAE_weibull,0.14222482347850499
HI-VAE_weibull,0.242704703361602
HI-VAE_weibull,0.08072083733267743
HI-VAE_weibull,0.6072360166139967
HI-VAE_weibull,0.10435436915140936
HI-VAE_weibull,0.7931506163414275
HI-VAE_weibull,0.609253577446521
HI-VAE_weibull,0.3599667596174738
HI-VAE_weibull,0.0027853730230254538
HI-VAE_weibull,0.007042009168306287
HI-VAE_weibull,0.5163666355165545
HI-VAE_weibull,0.45397873242970227
