Generator,log p_value
HI-VAE_weibull,1.0802589007180656
HI-VAE_weibull,0.1250713473105798
HI-VAE_weibull,0.1840656658559697
HI-VAE_weibull,0.519593991831625
HI-VAE_weibull,0.557749110246637
HI-VAE_weibull,0.011217849929413892
HI-VAE_weibull,0.2999819806349945
HI-VAE_weibull,0.3052027807206278
HI-VAE_weibull,0.13302686202328484
HI-VAE_weibull,0.7417703899424586
HI-VAE_weibull,0.07154619255433235
HI-VAE_weibull,0.17604385191194974
HI-VAE_weibull,0.10988113918670549
HI-VAE_weibull,0.3924096069783961
HI-VAE_weibull,0.49676806016104785
HI-VAE_weibull,0.3719335854712204
HI-VAE_weibull,0.4006715145339653
HI-VAE_weibull,0.7217594353856505
HI-VAE_weibull,0.11998090079623822
HI-VAE_weibull,0.12299189583384842
HI-VAE_weibull,0.2256120733080823
HI-VAE_weibull,0.2547218176143629
HI-VAE_weibull,0.21732739933934778
HI-VAE_weibull,1.578068356299384
HI-VAE_weibull,0.4504766280208355
HI-VAE_weibull,0.3020395561980711
HI-VAE_weibull,0.512770615862452
HI-VAE_weibull,0.5532806561115011
HI-VAE_weibull,1.0606416939208392
HI-VAE_weibull,0.04758492428280474
HI-VAE_weibull,0.36415898970112887
HI-VAE_weibull,0.4478801907094022
HI-VAE_weibull,0.30146712091128214
HI-VAE_weibull,0.5209468324405009
HI-VAE_weibull,0.5893347594046094
HI-VAE_weibull,0.07150100974349934
HI-VAE_weibull,0.2002988543218063
HI-VAE_weibull,0.5942819204779832
HI-VAE_weibull,0.04351799949012897
HI-VAE_weibull,0.28800222018481403
HI-VAE_weibull,0.6381149659136224
HI-VAE_weibull,0.22681632761672962
HI-VAE_weibull,0.04491982419978747
HI-VAE_weibull,0.30761522757456816
HI-VAE_weibull,0.11126372423949633
HI-VAE_weibull,0.8907544139355709
HI-VAE_weibull,0.8310997807828063
HI-VAE_weibull,1.307442480255042
HI-VAE_weibull,0.38960218316201106
HI-VAE_weibull,0.25005917980289094
HI-VAE_weibull,0.05738997934032466
HI-VAE_weibull,1.2149586651575743
HI-VAE_weibull,0.14804042070597515
HI-VAE_weibull,0.014249788571281475
HI-VAE_weibull,0.19520961562861133
HI-VAE_weibull,0.44550843157259684
HI-VAE_weibull,0.3487551795546831
HI-VAE_weibull,0.709118047359654
HI-VAE_weibull,0.08540163852266959
HI-VAE_weibull,0.40818586931826006
HI-VAE_weibull,0.08594543603297833
HI-VAE_weibull,0.1451278300523734
HI-VAE_weibull,0.11838861131636798
HI-VAE_weibull,0.4888620432453468
HI-VAE_weibull,0.5384637527146475
HI-VAE_weibull,1.1860302088050934
HI-VAE_weibull,0.3534286180707763
HI-VAE_weibull,0.8875571451068461
HI-VAE_weibull,0.34564144114749246
HI-VAE_weibull,0.4635075933444259
HI-VAE_weibull,0.11921178249709256
HI-VAE_weibull,0.5763153802150277
HI-VAE_weibull,0.29029388756325797
HI-VAE_weibull,0.055529716986504093
HI-VAE_weibull,0.06352736288061568
HI-VAE_weibull,0.07041966603233647
HI-VAE_weibull,0.5774287109072178
HI-VAE_weibull,0.4053191069621903
HI-VAE_weibull,0.10175982713551461
HI-VAE_weibull,0.3272243051726505
HI-VAE_weibull,0.02110164597909226
HI-VAE_weibull,0.10785950778622902
HI-VAE_weibull,0.6079324323303696
HI-VAE_weibull,0.6880459577215448
HI-VAE_weibull,0.01636442061594019
HI-VAE_weibull,0.12753870294932595
HI-VAE_weibull,0.6466939825102987
HI-VAE_weibull,0.24384792193661986
HI-VAE_weibull,0.414851107903999
HI-VAE_weibull,0.3841494287098541
HI-VAE_weibull,0.26004121788569573
HI-VAE_weibull,0.02855984372168601
HI-VAE_weibull,0.046795842709921695
HI-VAE_weibull,0.2742172426803606
HI-VAE_weibull,0.23284986962946141
HI-VAE_weibull,0.2319649499880848
HI-VAE_weibull,1.0033138920373532
HI-VAE_weibull,0.07795546101639787
HI-VAE_weibull,0.4757536604640859
HI-VAE_weibull,0.5526526565981476
HI-VAE_weibull,0.23266912391882044
HI-VAE_weibull,0.6945353985264444
HI-VAE_weibull,0.6673722962169163
HI-VAE_weibull,0.7635702009557611
HI-VAE_weibull,0.2954277723260494
HI-VAE_weibull,0.003532716620565686
HI-VAE_weibull,0.48009580255747625
HI-VAE_weibull,0.29962138534972704
HI-VAE_weibull,0.23343264108125628
HI-VAE_weibull,0.10536156009496693
HI-VAE_weibull,0.16633109975588695
HI-VAE_weibull,0.09132077706895961
HI-VAE_weibull,0.028037732929355113
HI-VAE_weibull,0.36167851584031274
HI-VAE_weibull,0.29373274052353343
HI-VAE_weibull,0.07728920346276356
HI-VAE_weibull,0.3694424342972804
HI-VAE_weibull,0.3433702091679408
HI-VAE_weibull,0.2609681701008573
HI-VAE_weibull,0.5392535390869468
HI-VAE_weibull,1.383803362972926
HI-VAE_weibull,0.14000802610159044
HI-VAE_weibull,0.09798127181389338
HI-VAE_weibull,0.033546896099149064
HI-VAE_weibull,1.5536748182050102
HI-VAE_weibull,0.17760722005798707
HI-VAE_weibull,0.23191106745253678
