Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.975,0.875,1.0,0.7858114076551315
HI-VAE_weibull,80,0.9875,0.9125,1.0,0.7993607462495004
HI-VAE_weibull,120,0.9916666666666667,0.925,1.0,0.8031690396054316
HI-VAE_weibull,160,0.99375,0.9375,1.0,0.8046755671606458
HI-VAE_weibull,200,0.995,0.94,1.0,0.8042051847872353
HI-VAE_piecewise,40,1.0,0.9,1.0,0.7987200509206844
HI-VAE_piecewise,80,1.0,0.9125,1.0,0.8061095166364725
HI-VAE_piecewise,120,1.0,0.9333333333333333,1.0,0.8128150976145008
HI-VAE_piecewise,160,1.0,0.94375,1.0,0.8140970788190096
HI-VAE_piecewise,200,1.0,0.955,1.0,0.818369159566046
Surv-GAN,40,0.0,0.0,0.0,0.0037157210026182858
Surv-GAN,80,0.0,0.0,0.0125,0.008468563143407427
Surv-GAN,120,0.0,0.0,0.008333333333333333,0.009206911285089919
Surv-GAN,160,0.0,0.0,0.00625,0.008911967974211926
Surv-GAN,200,0.0,0.0,0.005,0.009710742756177403
Surv-VAE,40,0.925,0.65,1.0,0.5916216413580536
Surv-VAE,80,0.9125,0.625,1.0,0.584758727583093
Surv-VAE,120,0.9333333333333333,0.65,1.0,0.5830393934698929
Surv-VAE,160,0.9,0.60625,0.99375,0.5743789000442525
Surv-VAE,200,0.895,0.61,0.995,0.5749988328506054
