,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,aug_perc,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
0,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,13.315393818687888,12.025925290799567,0.438692328512201,0.09219160830126463,0.0071078213660178665,0.9444823663253697,0.10886114184612442,0.6681443104934175,0.39734112768051405,6.0,8.544588795327389,6.3417552617447654,-0.3261645877520023,0.08788852459994029,0.011596256512268753,0.9219567690557452,0.05098639834890535,0.7749309057048609,0.30090830884427067,3.0
1,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,13.71900120332542,12.642595654465504,0.44512600943586067,0.09202528424374025,0.0054283942432952,0.9574516496018202,0.09725166370048821,0.6118822375655034,0.4486287367587988,9.0,6.311958359486535,4.514405948037826,-0.2748763895009516,0.08837686733798104,0.012566970983722973,0.9180887372013651,0.05335067969776989,0.7474526741225767,0.29079786390880763,6.0
2,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,11.80907490551471,10.888504494494896,0.4117926843182601,0.09248579654690178,0.006720179328735588,0.9494880546075085,0.1135871932194047,0.5181982981505513,0.4076277826050122,9.0,6.566611573567137,4.386764807367787,-0.2817391882938324,0.08848777451106768,0.013915875038389995,0.914448236632537,0.05370834189796045,0.7410989707674173,0.2411502900205498,5.0
3,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,9.611517109191174,9.2419127493733,0.3622894886194426,0.09132227915781216,0.006050496555834752,0.9526734926052332,0.10737984612705201,0.592136623443521,0.5141390784095329,7.0,7.464757584426881,5.597145418846746,-0.3036575795589844,0.08846151550509503,0.013172427399935738,0.9149032992036404,0.05768435056642491,0.7750151066380054,0.2800706960950872,4.0
4,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,16.79927346072445,15.038535968866766,0.49812905101161875,0.09222944820313232,0.005807907656963892,0.949032992036405,0.10453426595955675,0.6108054562204677,0.36577754837892856,11.0,6.219686405122098,4.020294242873299,-0.2734863328628568,0.08870662363741913,0.013881784879630044,0.91353811149033,0.0544265942904404,0.7364005586979564,0.24942759625925626,3.0
5,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,11.844996527455693,11.041452202230415,0.40768325115154,0.09139522653994148,0.006832658737608953,0.94448236632537,0.09178747756341889,0.63995879107272,0.3782676348430523,6.0,4.000987972621597,2.8131288997588446,-0.20356903950727798,0.08641101575288453,0.01108409423600641,0.9208191126279863,0.04712283626442519,0.7387571942267878,0.32653399570185365,1.0
6,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,25.721677825462862,23.93682718013051,0.6412035419600733,0.09481225796662421,0.00741292890205254,0.946075085324232,0.1455974744962365,0.643678491119278,0.36495410845491766,9.0,7.956447096678891,5.59785901076057,-0.31588902437677174,0.08869277155800706,0.011100045479233137,0.924004550625711,0.05197814378984134,0.7169362747525979,0.2558259608610623,4.0
7,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,14.39038753166591,13.47535953836394,0.45920578730638495,0.09248895042651485,0.007608448786164831,0.9424345847554039,0.11697534422440142,0.6280428731339587,0.465434128535204,5.0,4.792405437088782,2.853658213874331,-0.23555784492254903,0.08941502135823928,0.011363787798469345,0.919226393629124,0.053513935713500146,0.7133354466116554,0.2222212389853563,6.0
8,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,15.793841001302086,13.993725475744032,0.4866280512507252,0.09317934875301766,0.005769027160672237,0.9494880546075086,0.12165197298452209,0.6158485968162142,0.4577542188888563,6.0,3.3799592003841554,2.1145631568169274,-0.18401651376620903,0.08693374474506557,0.01279453801355416,0.9194539249146758,0.04582143715499462,0.7046221359300241,0.31250457301164325,1.0
9,420,262.9931740614335,266,0.0034266868486105538,0.0,1.0,0.0634058981466211,-0.006791415122130832,0.08833280773416526,16.52963181983929,15.051376436175346,0.49459473484353084,0.09239248945727822,0.006168658861091068,0.9488054607508531,0.11503889488938167,0.6549574537637817,0.4622450023609271,7.0,6.190524092068779,4.1757439372062315,-0.2707062400441309,0.08804603563794522,0.012468158453783166,0.914448236632537,0.05110353781430438,0.735635816105162,0.309047553215872,1.0
