,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,aug_perc,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
0,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.186297144535358,7.063068541821787,-0.3749431911326195,0.0969952291358078,0.015165630304431833,0.8865384615384614,0.0896014983081187,0.7103401360544217,0.3387346070080627,3.0
1,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.407048418724752,5.78663236229064,-0.30807759603978946,0.09823253209539844,0.014410747668546121,0.8935897435897436,0.10573821386978458,0.7819954648526078,0.2835205091160582,2.0
2,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,8.342898593090226,6.211609346902542,-0.34976377165157163,0.09559282075266204,0.01457489168808806,0.891025641025641,0.07864519628850275,0.7026757369614512,0.32223716072982794,3.0
3,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.594233175710157,7.933332902091618,-0.38640010633607835,0.09753610911149828,0.01626119281418856,0.8743589743589745,0.08275395019362408,0.7508616780045353,0.3306402261375607,2.0
4,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,8.554777220715065,6.957705132275192,-0.35801286499321555,0.09646644609960484,0.017173704718426816,0.8852564102564102,0.07860109202028925,0.6921541950113379,0.35840305325438326,1.0
5,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,7.588698484771926,5.800933524784274,-0.3347558308080484,0.0966509856369839,0.015102487622243208,0.8878205128205128,0.09846483281863869,0.7582086167800453,0.30592901569423747,3.0
6,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.559357608151542,7.517042804304277,-0.3820034376940818,0.09660328545198942,0.015587546204113758,0.8865384615384614,0.07233518451360356,0.6889569160997733,0.32427259274722214,2.0
7,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.551058057996515,5.101467192380349,-0.30553291004066696,0.09613570830907392,0.016068379075501883,0.8852564102564102,0.05600039089945466,0.7421541950113378,0.25875347273100086,2.0
8,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.806080670959927,7.382238636131287,-0.3857276527902923,0.09614966327254708,0.014625396584009792,0.8955128205128204,0.11182014525904949,0.8035827664399093,0.3442968330267269,4.0
9,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,8.218118835211135,6.471321483136077,-0.3440071837039514,0.0948259906062268,0.01699640094239623,0.8826923076923079,0.07686510295904037,0.7543083900226757,0.3393139229232204,3.0
10,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,12.781496064138638,9.284801200248056,-0.44546722222635476,0.09577015307953503,0.01474617253750482,0.8865384615384613,0.10351506428922506,0.7196598639455782,0.3459328503635955,1.0
11,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,4.357217603459438,3.6274961551096054,-0.24134772288771836,0.09717702857908117,0.01661679470827076,0.8871794871794871,0.04478655297145024,0.7480725623582766,0.2726917707098232,1.0
12,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,7.07983260428261,6.2043469363438914,-0.32532076497544504,0.09780222565697778,0.013620584867549128,0.8948717948717949,0.09540121280305888,0.6786848072562359,0.3855204294224467,1.0
13,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.79987528224738,6.059454996420907,-0.31687901556976295,0.09755832814450707,0.015192940021644718,0.8839743589743588,0.0947370598775223,0.7205442176870749,0.3513031875829698,3.0
14,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,7.450867418423702,5.793599127387282,-0.330573757438716,0.09646238773911961,0.015614657853819502,0.8814102564102566,0.08958488940825367,0.7382993197278912,0.3104707941638791,1.0
15,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.444715920155255,4.7359090805356265,-0.3014574575240067,0.09577479212191166,0.014690487626915102,0.8865384615384616,0.08082631920750491,0.7424263038548753,0.30500092755235575,2.0
16,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,11.848278468618659,9.109293967721614,-0.43136053679630176,0.0967202561001645,0.013855790552023016,0.882051282051282,0.10487477907740818,0.7429705215419501,0.2766740712629909,1.0
17,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,3.924486443590915,3.014645348998398,-0.22457980692401117,0.09652582366702707,0.01374397531350316,0.9019230769230767,0.05725912959530567,0.7290022675736961,0.33596245217546294,1.0
18,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.40956132705629,5.4355378127515985,-0.304434818717386,0.09703917101744748,0.01627000514267364,0.8833333333333333,0.08741327071796108,0.7729478458049887,0.34240467754344345,3.0
19,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,5.718735510985822,4.868160031655177,-0.2817324117461906,0.09610979949087944,0.019074770088875988,0.8653846153846153,0.10167927537651869,0.743015873015873,0.3496424698207608,1.0
20,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,10.436768723385338,9.10637240572423,-0.40810596046296327,0.09823147571853118,0.01491990415025857,0.8884615384615384,0.0965659695284481,0.713469387755102,0.3006850002219836,3.0
21,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,8.184198934144694,5.994389701627809,-0.35015238429434575,0.09677092933942183,0.015551480855754645,0.8878205128205128,0.08362276587153335,0.7400453514739229,0.33294435258545746,2.0
22,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,5.985256692110147,4.621261495469522,-0.28837075536942314,0.09572960729317288,0.014875167706913443,0.8935897435897435,0.06657429764016093,0.7270068027210884,0.34707434280652116,6.0
23,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,2.553420307984284,2.512177486901154,-0.17323803328359533,0.09834164361243311,0.014608343080354837,0.8923076923076924,0.07622741950272108,0.7452154195011338,0.32338044380153846,2.0
24,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,8.875476767408813,6.596161368074954,-0.36340284750986834,0.09587400931749997,0.015669525377542702,0.8814102564102563,0.08657209250357951,0.7186848072562358,0.31813933574297437,5.0
25,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.944116167573652,7.968960513381305,-0.39294160730707123,0.09719047739494431,0.01368936864123794,0.8948717948717948,0.10145655447669817,0.7290249433106577,0.32498460970364473,1.0
26,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.049455270132286,6.704470158793305,-0.37112818797625097,0.09683466099946118,0.013162678672628792,0.9012820512820512,0.08213959584956651,0.7269614512471656,0.2941076023984875,3.0
27,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,11.608458922621477,8.472991457543625,-0.42077455446465056,0.09540803924341464,0.01596409218345628,0.8846153846153847,0.10988954851279552,0.7479818594104308,0.28730997173228023,3.0
28,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,4.91229561531366,3.8292571681458076,-0.25732639858646456,0.09623608186192553,0.014994066641957675,0.8807692307692307,0.06652516607251574,0.761655328798186,0.3359331353895406,1.0
29,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,8.109834515695429,5.808902715516103,-0.3426740620245435,0.09519916195574915,0.017257640772749567,0.8846153846153848,0.09396910355628696,0.7390702947845804,0.3379631923783139,3.0
30,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.9719542921268145,5.734283079885539,-0.3178939041054254,0.09642862713698758,0.01472256686952315,0.8897435897435898,0.06654297421608331,0.7947845804988661,0.3076744114244864,4.0
31,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,10.276302931042917,7.8199960366194565,-0.3908012037718837,0.09485449267520805,0.014549970564703772,0.8929487179487179,0.07961474864701674,0.6801360544217687,0.30798446314489314,2.0
32,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.059976112286516,5.328756127210327,-0.29583610410486527,0.09749369005802565,0.016867211446368106,0.876923076923077,0.08874920801579395,0.6737641723356009,0.3019775832849342,2.0
33,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.76269762484357,5.341446220484801,-0.3079959797129661,0.09510171675294679,0.016546862761143036,0.8814102564102566,0.08647230566449599,0.7968934240362812,0.36698572695156667,1.0
34,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.32875996363926,7.323689788802819,-0.3772051052364137,0.09673472490576542,0.014720381310795607,0.8839743589743588,0.09009281359995003,0.7425623582766441,0.3857339760250904,3.0
35,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,6.738629349019897,5.080357730763982,-0.3097142173947783,0.09584407336739834,0.015434154690028281,0.8846153846153846,0.09169218256933193,0.7377777777777779,0.3880351802459953,1.0
36,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,11.728107421772538,8.490290730983162,-0.42482000571376183,0.09579334909559933,0.015372893140981775,0.8769230769230769,0.11744392211320995,0.762766439909297,0.29752339295453295,2.0
37,360,228.25,248,0.0034266868486105538,0.0,0.3333333333333333,0.02854718499275339,0.0044811041677725455,0.12734032303263712,9.031321158028042,7.178603108716308,-0.3682196478481356,0.09618203998855973,0.014582776778618625,0.8916666666666667,0.0864019132286105,0.7545804988662133,0.36354408375052405,2.0
