J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.005154447041625261,0.9699858757062146,0.024015565944753865,0.7812358533272974,0.175095869290843,2.0,HI-VAE_weibull
0.005877255704645617,0.9597457627118643,0.03057523894868051,0.7497302701071374,0.19927290893913865,5.0,HI-VAE_weibull
0.00623171841952353,0.9604519774011299,0.026395063380911132,0.7515240682058247,0.21057359121248112,5.0,HI-VAE_weibull
0.0059215232108117384,0.9646892655367231,0.025897179827039606,0.7506488607212917,0.15238556383722293,1.0,HI-VAE_weibull
0.006301967527433901,0.9597457627118645,0.02316214406121943,0.8224271917911572,0.18123860608412942,3.0,HI-VAE_weibull
0.0070151641505905955,0.9608050847457626,0.032187094293107885,0.7682605251244906,0.17062579775165257,3.0,HI-VAE_weibull
0.007033095207511767,0.9544491525423728,0.030969070048173702,0.7423664554096877,0.19317956744887965,6.0,HI-VAE_weibull
0.007636682395639273,0.9530367231638418,0.0429348858429081,0.7942979477893466,0.21634780834754397,1.0,HI-VAE_weibull
0.006146469334174707,0.9600988700564971,0.027246237209228714,0.7871057793873548,0.06894624423629757,5.0,HI-VAE_weibull
0.007779208772781226,0.952683615819209,0.019107275789025453,0.7127206880941602,0.14121962097148574,3.0,HI-VAE_weibull
0.006504049201538402,0.9530367231638417,0.03216065441975663,0.7815980081484836,0.15165535967548605,2.0,HI-VAE_weibull
0.005339239964489439,0.9685734463276835,0.0364147491691119,0.7338086615361401,0.2183209098554541,3.0,HI-VAE_weibull
0.004668984626397481,0.9699858757062146,0.02392884682481597,0.7194997736532367,0.1758752695093005,2.0,HI-VAE_weibull
0.006124810074679198,0.9636299435028248,0.02838304563025532,0.7157254413761883,0.11837580674789384,1.0,HI-VAE_weibull
0.006798659309981536,0.9622175141242938,0.02253867249181088,0.74418854685378,0.18396468335723265,3.0,HI-VAE_weibull
0.00549605185772233,0.9572740112994351,0.03483308327683592,0.7384336803983702,0.17476404680047275,4.0,HI-VAE_weibull
0.006651876718443834,0.9636299435028249,0.025650448162784622,0.784851742870077,0.1501371576974928,1.0,HI-VAE_weibull
0.005076939755850189,0.9615112994350282,0.03423738938123044,0.7683755847291385,0.17309325437012368,4.0,HI-VAE_weibull
0.004586614163871713,0.9689265536723163,0.03591256054251044,0.7668854685377998,0.2335469236164857,4.0,HI-VAE_weibull
0.00612988780688448,0.9657485875706214,0.020118621936516458,0.7638769428097177,0.09589170667546455,1.0,HI-VAE_weibull
0.004992695512164714,0.9650423728813559,0.021028669478363463,0.8111004225139581,0.2565012558629523,4.0,HI-VAE_weibull
0.006273744789172755,0.9600988700564971,0.03671429214331212,0.746665157688245,0.19815494747572196,3.0,HI-VAE_weibull
0.005793453458718668,0.9629237288135593,0.02128340001229779,0.7404028972385694,0.20902539171460602,4.0,HI-VAE_weibull
0.004913295970112961,0.9653954802259888,0.03560284999121451,0.7123943715104873,0.1504919019312091,2.0,HI-VAE_weibull
0.0073936480563747955,0.955861581920904,0.029654530370448344,0.7482212916855289,0.22882693638742652,4.0,HI-VAE_weibull
0.006804714052025152,0.9533898305084745,0.022136359338926433,0.7269824204013883,0.12284311751679983,5.0,HI-VAE_weibull
0.005466014259304653,0.9646892655367232,0.023033829217660652,0.7516429002565264,0.17406555132443996,3.0,HI-VAE_weibull
0.006153171315847952,0.9590395480225987,0.019021679843869845,0.7568413309189679,0.1677722598335491,3.0,HI-VAE_weibull
0.006825693288662295,0.9600988700564971,0.033187141705196294,0.7686283386147578,0.24425236349358517,7.0,HI-VAE_weibull
0.005927169351539236,0.9643361581920904,0.03321307869445627,0.7080617172174438,0.22226554808566845,5.0,HI-VAE_weibull
0.005874194263034531,0.9643361581920904,0.017673011787193004,0.7365889542779539,0.1546630826700212,2.0,HI-VAE_weibull
